tool	mean_recall	std_recall	min_recall	max_recall	lower_error	upper_error	n_fractions
indelfree_bruteforce	1.0	0.0	1.0	1.0	1.0	1.0	2
indelfree_indexed	0.9999770187197493	0.000022022228022453702	0.9999487043252513	1.0	0.9999549964917268	0.9999990409477718	6
bowtie1	0.9999274425302308	0.000033689160818760864	0.9999043199540736	1.0	0.999893753369412	0.9999611316910496	7
sassy	0.9769225723642532	0.0026001187680445032	0.9739270444336202	0.9798593503324882	0.9743224535962086	0.9795226911322977	4
bowtie2	0.9713141451771931	0.0035758780599805216	0.9662350668860433	0.9776587092761805	0.9677382671172126	0.9748900232371736	7
blastn	0.7843952377987989	0.006014236896721854	0.7776965957677112	0.7932354207530019	0.7783810009020771	0.7904094746955208	7
mmseqs2	0.7517391385192482	0.013383572876656608	0.735051305856937	0.7772090130603263	0.7383555656425916	0.7651227113959048	7
x_mapper	0.6281313501681172	0.20074696578699777	0.26238596818934196	0.8372960819021193	0.42738438438111936	0.828878315955115	7
strobealign	0.6110315643747745	0.127352276742133	0.36729516955392383	0.7294168301200784	0.48367928763264145	0.7383838411169075	7
mummer4	0.5834263108297376	0.013906650434323441	0.5700272353035192	0.6047457302779505	0.5695196603954141	0.5973329612640611	7
minimap2	0.00045495204184404755	0.00016099057633511943	0.00028805875010267154	0.0007035774205769335	0.0002939614655089281	0.000615942618179167	7
