distance_hamming	tool	distance_metric	mode	total_possible	tool_matches	recall
0	blastn	distance_hamming	exact	7486741	7486741	1.0
0	bowtie1	distance_hamming	exact	7486741	7486741	1.0
0	bowtie2	distance_hamming	exact	7486741	7486741	1.0
0	minimap2	distance_hamming	exact	7486741	7509	0.0010029731227512745
0	mmseqs2	distance_hamming	exact	7486741	7300313	0.9750989115290618
0	mummer4	distance_hamming	exact	7486741	7486741	1.0
0	strobealign	distance_hamming	exact	7486741	5893368	0.7871740187085409
0	x_mapper	distance_hamming	exact	7486741	4087837	0.5460102065772009
1	blastn	distance_hamming	exact	5349840	4300028	0.8037675893110822
1	bowtie1	distance_hamming	exact	5349840	5348252	0.9997031686928954
1	bowtie2	distance_hamming	exact	5349840	5348360	0.9997233562125223
1	minimap2	distance_hamming	exact	5349840	0	0.0
1	mmseqs2	distance_hamming	exact	5349840	4576693	0.8554822200290102
1	mummer4	distance_hamming	exact	5349840	3574831	0.6682126942114157
1	strobealign	distance_hamming	exact	5349840	1865559	0.34871304562379435
1	x_mapper	distance_hamming	exact	5349840	1382061	0.2583368848414158
2	blastn	distance_hamming	exact	5191692	3295366	0.6347383473441799
2	bowtie1	distance_hamming	exact	5191692	4840011	0.9322608120820727
2	bowtie2	distance_hamming	exact	5191692	4827887	0.9299255425784119
2	minimap2	distance_hamming	exact	5191692	0	0.0
2	mmseqs2	distance_hamming	exact	5191692	3160802	0.6088192442849075
2	mummer4	distance_hamming	exact	5191692	1819317	0.35042853081423164
2	strobealign	distance_hamming	exact	5191692	610239	0.11754144891492022
2	x_mapper	distance_hamming	exact	5191692	503854	0.09705005612813702
3	blastn	distance_hamming	exact	6584617	3253234	0.4940657900072244
3	bowtie1	distance_hamming	exact	6584617	5640628	0.8566372197502148
3	bowtie2	distance_hamming	exact	6584617	4996518	0.7588167998229813
3	minimap2	distance_hamming	exact	6584617	0	0.0
3	mmseqs2	distance_hamming	exact	6584617	2072104	0.314688614387139
3	mummer4	distance_hamming	exact	6584617	778217	0.11818713222044654
3	strobealign	distance_hamming	exact	6584617	181230	0.027523240911354448
3	x_mapper	distance_hamming	exact	6584617	134350	0.020403616489766983
