tool	fraction	fraction_float	BaseJobID	status	is_long_retry	replaced_failed_job	Elapsed_Seconds	CPU_Time_Seconds	MaxRSS_MB	ReqMem_MB	AllocCPUS	Peak_Memory_Gb	CPU_Time_Hours	Walltime_Hours	max_distance	tool_display
blastn	0.0005	0.0005	20697879	COMPLETED	false	false	1975	23768	621.125	172032.0	38	0.6065673828125	6.602222222222222	0.5486111111111112	perc_id=84%	blastn
blastn	0.001	0.001	20697880	COMPLETED	false	false	1971	32472	646.69921875	172032.0	38	0.6315422058105469	9.02	0.5475	perc_id=84%	blastn
blastn	0.005	0.005	20697881	COMPLETED	false	false	11469	161246	696.73046875	172032.0	38	0.6804008483886719	44.79055555555556	3.1858333333333335	perc_id=84%	blastn
blastn	0.01	0.01	20697882	COMPLETED	false	false	32403	341006	712.61328125	172032.0	38	0.6959114074707031	94.7238888888889	9.000833333333333	perc_id=84%	blastn
blastn	0.05	0.05	20697883	COMPLETED	false	false	103560	2003888	1340.75	172032.0	38	1.309326171875	556.6355555555556	28.766666666666666	perc_id=84%	blastn
blastn	0.1	0.1	20697884	COMPLETED	false	false	528481	4089534	2888.3203125	172032.0	38	2.8206253051757812	1135.9816666666666	146.80027777777778	perc_id=84%	blastn
bowtie1	0.0005	0.0005	20668861	COMPLETED	false	false	150	150	183.3828125	172032.0	38	0.17908477783203125	0.041666666666666664	0.041666666666666664	3	bowtie1
bowtie1	0.001	0.001	20668609	COMPLETED	false	false	153	153	516.86328125	172032.0	38	0.5047492980957031	0.0425	0.0425	3	bowtie1
bowtie1	0.005	0.005	20668621	COMPLETED	false	false	331	331	847.828125	172032.0	38	0.8279571533203125	0.09194444444444444	0.09194444444444444	3	bowtie1
bowtie1	0.01	0.01	20668633	COMPLETED	false	false	382	382	1254.33203125	172032.0	38	1.2249336242675781	0.10611111111111111	0.10611111111111111	3	bowtie1
bowtie1	0.05	0.05	20668645	COMPLETED	false	false	1145	14656	4251.66015625	172032.0	38	4.152011871337891	4.071111111111111	0.31805555555555554	3	bowtie1
bowtie1	0.1	0.1	20668655	COMPLETED	false	false	5403	36984	8216.39453125	172032.0	38	8.023822784423828	10.273333333333333	1.5008333333333332	3	bowtie1
bowtie1	1	1.0	20668665	COMPLETED	false	false	51592	422244	149882.53515625	256000.0	38	146.3696632385254	117.29	14.331111111111111	3	bowtie1
bowtie2	0.0005	0.0005	20668433	COMPLETED	false	false	202	202	1075.64453125	172032.0	38	1.0504341125488281	0.05611111111111111	0.05611111111111111	N/A	bowtie2
bowtie2	0.001	0.001	20668610	COMPLETED	false	false	225	225	797.55078125	172032.0	38	0.7788581848144531	0.0625	0.0625	N/A	bowtie2
bowtie2	0.005	0.005	20668622	COMPLETED	false	false	576	576	1122.66015625	172032.0	38	1.0963478088378906	0.16	0.16	N/A	bowtie2
bowtie2	0.01	0.01	20668634	COMPLETED	false	false	1408	10380	1883.078125	172032.0	38	1.8389434814453125	2.8833333333333333	0.39111111111111113	N/A	bowtie2
bowtie2	0.05	0.05	20668646	COMPLETED	false	false	5262	49080	6430.5625	172032.0	38	6.27984619140625	13.633333333333333	1.4616666666666667	N/A	bowtie2
bowtie2	0.1	0.1	20668656	COMPLETED	false	false	12246	110656	11902.5859375	172032.0	38	11.623619079589844	30.73777777777778	3.401666666666667	N/A	bowtie2
bowtie2	1	1.0	20668666	COMPLETED	false	false	417330	3581522	155118.2265625	256000.0	38	151.4826431274414	994.8672222222223	115.925	N/A	bowtie2
indelfree_bruteforce	0.0005	0.0005	20668599	COMPLETED	false	false	96310	711960	22565.08984375	172032.0	38	22.03622055053711	197.76666666666668	26.752777777777776	N/A	indelfree_bruteforce
indelfree_bruteforce	0.001	0.001	20668611	COMPLETED	false	false	150199	1336074	28484.25	172032.0	38	27.816650390625	371.13166666666666	41.721944444444446	N/A	indelfree_bruteforce
indelfree_indexed	0.0005	0.0005	20668600	COMPLETED	false	false	1692	9806	20795.0078125	172032.0	38	20.30762481689453	2.723888888888889	0.47	N/A	indelfree_indexed
indelfree_indexed	0.001	0.001	20668612	COMPLETED	false	false	2491	14602	28545.88671875	172032.0	38	27.876842498779297	4.056111111111111	0.6919444444444445	N/A	indelfree_indexed
indelfree_indexed	0.005	0.005	20668624	COMPLETED	false	false	9153	74614	29098.0078125	172032.0	38	28.41602325439453	20.726111111111113	2.5425	N/A	indelfree_indexed
indelfree_indexed	0.01	0.01	20668636	COMPLETED	false	false	21745	159770	32159.39453125	172032.0	38	31.405658721923828	44.38055555555555	6.040277777777778	N/A	indelfree_indexed
indelfree_indexed	0.05	0.05	20668647	COMPLETED	false	false	66345	669010	36691.26171875	172032.0	38	35.8313102722168	185.8361111111111	18.429166666666667	N/A	indelfree_indexed
indelfree_indexed	0.1	0.1	20668657	COMPLETED	false	false	184254	1505504	41735.3828125	172032.0	38	40.75720977783203	418.19555555555553	51.181666666666665	N/A	indelfree_indexed
minimap2	0.0005	0.0005	20668602	COMPLETED	false	false	105	105	780.21875	172032.0	38	0.761932373046875	0.029166666666666667	0.029166666666666667	N/A	minimap2
minimap2	0.001	0.001	20668614	COMPLETED	false	false	156	156	779.23828125	172032.0	38	0.7609748840332031	0.043333333333333335	0.043333333333333335	N/A	minimap2
minimap2	0.005	0.005	20668626	COMPLETED	false	false	528	528	1149.25	172032.0	38	1.122314453125	0.14666666666666667	0.14666666666666667	N/A	minimap2
minimap2	0.01	0.01	20668638	COMPLETED	false	false	2260	9386	1689.79296875	172032.0	38	1.6501884460449219	2.607222222222222	0.6277777777777778	N/A	minimap2
minimap2	0.05	0.05	20668649	COMPLETED	false	false	3322	56290	5269.5703125	172032.0	38	5.146064758300781	15.636111111111111	0.9227777777777778	N/A	minimap2
minimap2	0.1	0.1	20668659	COMPLETED	false	false	27795	123072	10084.01171875	172032.0	38	9.847667694091797	34.18666666666667	7.720833333333333	N/A	minimap2
minimap2	1	1.0	20668669	COMPLETED	false	false	173262	1862460	92867.98828125	256000.0	38	90.6913948059082	517.35	48.12833333333333	N/A	minimap2
mmseqs2	0.0005	0.0005	20668603	COMPLETED	false	false	240	240	10234.765625	172032.0	38	9.994888305664062	0.06666666666666667	0.06666666666666667	min-seq-id=85%	mmseqs2
mmseqs2	0.001	0.001	20668615	COMPLETED	false	false	237	237	10221.5546875	172032.0	38	9.981986999511719	0.06583333333333333	0.06583333333333333	min-seq-id=85%	mmseqs2
mmseqs2	0.005	0.005	20668627	COMPLETED	false	false	259	259	10581.2265625	172032.0	38	10.333229064941406	0.07194444444444445	0.07194444444444445	min-seq-id=85%	mmseqs2
mmseqs2	0.01	0.01	20668639	COMPLETED	false	false	262	262	11006.44921875	172032.0	38	10.748485565185547	0.07277777777777777	0.07277777777777777	min-seq-id=85%	mmseqs2
mmseqs2	0.05	0.05	20668650	COMPLETED	false	false	258	258	15669.9921875	172032.0	38	15.302726745605469	0.07166666666666667	0.07166666666666667	min-seq-id=85%	mmseqs2
mmseqs2	0.1	0.1	20668660	COMPLETED	false	false	481	481	23383.1875	172032.0	38	22.83514404296875	0.13361111111111112	0.13361111111111112	min-seq-id=85%	mmseqs2
mmseqs2	1	1.0	20668670	COMPLETED	false	false	2631	19320	145164.76171875	256000.0	38	141.7624626159668	5.366666666666666	0.7308333333333333	min-seq-id=85%	mmseqs2
mummer4	0.0005	0.0005	20668604	COMPLETED	false	false	24	24	395.5546875	172032.0	38	0.38628387451171875	0.006666666666666667	0.006666666666666667	N/A	mummer4
mummer4	0.001	0.001	20668616	COMPLETED	false	false	30	30	124.17578125	172032.0	38	0.12126541137695312	0.008333333333333333	0.008333333333333333	N/A	mummer4
mummer4	0.005	0.005	20668628	COMPLETED	false	false	124	124	266.234375	172032.0	38	0.2599945068359375	0.034444444444444444	0.034444444444444444	N/A	mummer4
mummer4	0.01	0.01	20668640	COMPLETED	false	false	294	294	285.40625	172032.0	38	0.278717041015625	0.08166666666666667	0.08166666666666667	N/A	mummer4
mummer4	0.05	0.05	20668651	COMPLETED	false	false	930	930	438.54296875	172032.0	38	0.4282646179199219	0.25833333333333336	0.25833333333333336	N/A	mummer4
mummer4	0.1	0.1	20668661	COMPLETED	false	false	3102	16720	2369.671875	172032.0	38	2.3141326904296875	4.644444444444445	0.8616666666666667	N/A	mummer4
mummer4	1	1.0	20668671	COMPLETED	false	false	33573	172352	9240.49609375	256000.0	38	9.023921966552734	47.87555555555556	9.325833333333334	N/A	mummer4
sassy	0.0005	0.0005	20668605	COMPLETED	false	false	9897	94480	3024.3671875	172032.0	38	2.9534835815429688	26.244444444444444	2.7491666666666665	N/A	sassy
sassy	0.001	0.001	20668617	COMPLETED	false	false	16771	134108	3217.8828125	172032.0	38	3.1424636840820312	37.25222222222222	4.658611111111111	N/A	sassy
sassy	0.005	0.005	20668629	COMPLETED	false	false	91689	764202	10675.203125	172032.0	38	10.425003051757812	212.27833333333334	25.469166666666666	N/A	sassy
sassy	0.01	0.01	20668641	COMPLETED	false	false	236265	1582552	28611.01171875	172032.0	38	27.940441131591797	439.59777777777776	65.62916666666666	N/A	sassy
strobealign	0.0005	0.0005	20668606	COMPLETED	false	false	19	19	648.578125	172032.0	38	0.6333770751953125	0.005277777777777778	0.005277777777777778	N/A	strobealign
strobealign	0.001	0.001	20668618	COMPLETED	false	false	18	18	685.91015625	172032.0	38	0.6698341369628906	0.005	0.005	N/A	strobealign
strobealign	0.005	0.005	20668630	COMPLETED	false	false	34	34	2071.96875	172032.0	38	2.023406982421875	0.009444444444444445	0.009444444444444445	N/A	strobealign
strobealign	0.01	0.01	20668642	COMPLETED	false	false	54	54	3631.79296875	172032.0	38	3.546672821044922	0.015	0.015	N/A	strobealign
strobealign	0.05	0.05	20668652	COMPLETED	false	false	120	120	12005.7578125	172032.0	38	11.724372863769531	0.03333333333333333	0.03333333333333333	N/A	strobealign
strobealign	0.1	0.1	20668662	COMPLETED	false	false	291	291	21799.14453125	172032.0	38	21.288227081298828	0.08083333333333333	0.08083333333333333	N/A	strobealign
strobealign	1	1.0	20668672	COMPLETED	false	false	1155	1155	119469.00390625	256000.0	38	116.66894912719727	0.32083333333333336	0.32083333333333336	N/A	strobealign
x_mapper	0.0005	0.0005	20668607	COMPLETED	false	false	90	90	6188.1015625	172032.0	38	6.043067932128906	0.025	0.025	N/A	x_mapper
x_mapper	0.001	0.001	20668619	COMPLETED	false	false	105	105	6212.76171875	172032.0	38	6.067150115966797	0.029166666666666667	0.029166666666666667	N/A	x_mapper
x_mapper	0.005	0.005	20668631	COMPLETED	false	false	211	211	4278.5234375	172032.0	38	4.178245544433594	0.058611111111111114	0.058611111111111114	N/A	x_mapper
x_mapper	0.01	0.01	20668643	COMPLETED	false	false	234	234	7522.69140625	172032.0	38	7.346378326416016	0.065	0.065	N/A	x_mapper
x_mapper	0.05	0.05	20668653	COMPLETED	false	false	1540	1540	11006.203125	172032.0	38	10.748245239257812	0.42777777777777776	0.42777777777777776	N/A	x_mapper
x_mapper	0.1	0.1	20668663	COMPLETED	false	false	3979	12110	11120.265625	172032.0	38	10.859634399414062	3.363888888888889	1.1052777777777778	N/A	x_mapper
x_mapper	1	1.0	20695756	COMPLETED	false	false	44725	163784	250140.07421875	256000.0	38	244.27741622924805	45.495555555555555	12.42361111111111	N/A	x_mapper
