tool_display	base_tool	max_distances	Avg_CPU_Time_Hours	Min_CPU_Time_Hours	Max_CPU_Time_Hours	Total_CPU_Time_Hours	Avg_Peak_Memory_Gb	Max_Peak_Memory_Gb	CPU_Allocations_Used	Num_Long_Retries	Num_Replaced_Failures	Num_Fractions	Variable_CPUs
strobealign	strobealign	"[""N/A""]"	0.06710317460317461	0.005	0.32083333333333336	0.46972222222222226	22.364977155412948	116.66894912719727	[38]	0	0	7	false
mmseqs2	mmseqs2	"[""min-seq-id=85%""]"	0.8355952380952381	0.06583333333333333	5.366666666666666	5.849166666666666	31.565560477120535	141.7624626159668	[38]	0	0	7	false
x_mapper	x_mapper	"[""N/A""]"	7.066428571428571	0.025	45.495555555555555	49.464999999999996	41.36001968383789	244.27741622924805	[38]	0	0	7	false
mummer4	mummer4	"[""N/A""]"	7.558492063492063	0.006666666666666667	47.87555555555556	52.909444444444446	1.8303685869489397	9.023921966552734	[38]	0	0	7	false
bowtie1	bowtie1	"[""3""]"	18.8452380952381	0.041666666666666664	117.29	131.91666666666669	23.04031753540039	146.3696632385254	[38]	0	0	7	false
minimap2	minimap2	"[""N/A""]"	81.4284523809524	0.029166666666666667	517.35	569.9991666666667	15.711505344935826	90.6913948059082	[38]	0	0	7	false
indelfree_indexed	indelfree_indexed	"[""N/A""]"	112.65305555555555	2.723888888888889	418.19555555555553	675.9183333333333	30.765778223673504	40.75720977783203	[38]	0	0	6	false
bowtie2	bowtie2	"[""N/A""]"	148.9143253968254	0.05611111111111111	994.8672222222223	1042.4002777777778	24.878670283726283	151.4826431274414	[38]	0	0	7	false
sassy	sassy	"[""N/A""]"	178.84319444444444	26.244444444444444	439.59777777777776	715.3727777777777	11.115347862243652	27.940441131591797	[38]	0	0	4	false
indelfree_bruteforce	indelfree_bruteforce	"[""N/A""]"	284.44916666666666	197.76666666666668	371.13166666666666	568.8983333333333	24.926435470581055	27.816650390625	[38]	0	0	2	false
blastn	blastn	"[""perc_id=84%""]"	307.9589814814815	6.602222222222222	1135.9816666666666	1847.753888888889	1.124062220255534	2.8206253051757812	[38]	0	0	6	false
