simulation	tool_display	tool_name	max_distance_setting	search_space_size	num_spacers	num_contigs	total_spacer_Mbp	total_contig_Mbp	AllocCPUS	CPU_Time_Hours	Peak_Memory_Gb
ns_500_nc_5000_HIGH_INSERTION_RATE	blastn	blastn	perc_id=84%	2500000	500	5000	0.016007	400.779688	38	0.025	1.4605484008789062
ns_500_nc_5000_HIGH_INSERTION_RATE	bowtie1	bowtie1	3	2500000	500	5000	0.016007	400.779688	38	2.9916666666666667	3.6397552490234375
ns_500_nc_5000_HIGH_INSERTION_RATE	bowtie2	bowtie2	N/A	2500000	500	5000	0.016007	400.779688	38	0.18444444444444444	4.0885467529296875
ns_500_nc_5000_HIGH_INSERTION_RATE	indelfree_bruteforce_d5	indelfree_bruteforce	5	2500000	500	5000	0.016007	400.779688	38	0.18	27.46990203857422
ns_500_nc_5000_HIGH_INSERTION_RATE	indelfree_indexed_d5	indelfree_indexed	5	2500000	500	5000	0.016007	400.779688	38	0.015833333333333335	7.555110931396484
ns_500_nc_5000_HIGH_INSERTION_RATE	minimap2	minimap2	N/A	2500000	500	5000	0.016007	400.779688	38	0.013333333333333332	2.685863494873047
ns_500_nc_5000_HIGH_INSERTION_RATE	mmseqs2	mmseqs2	min-seq-id=85%	2500000	500	5000	0.016007	400.779688	38	0.035833333333333335	11.205272674560547
ns_500_nc_5000_HIGH_INSERTION_RATE	mummer4	mummer4	N/A	2500000	500	5000	0.016007	400.779688	38	0.06833333333333333	0.2751274108886719
ns_500_nc_5000_HIGH_INSERTION_RATE	sassy_d5	sassy	5	2500000	500	5000	0.016007	400.779688	38	0.026666666666666665	0.09033966064453125
ns_500_nc_5000_HIGH_INSERTION_RATE	strobealign	strobealign	N/A	2500000	500	5000	0.016007	400.779688	38	0.0044444444444444444	1.8490676879882812
ns_500_nc_5000_HIGH_INSERTION_RATE	x_mapper	x_mapper	N/A	2500000	500	5000	0.016007	400.779688	38	0.06861111111111111	13.157676696777344
ns_50000_nc_5000	blastn	blastn	perc_id=84%	250000000	50000	5000	1.599652	402.60657	38	3.35	0.6979103088378906
ns_50000_nc_5000	bowtie1	bowtie1	3	250000000	50000	5000	1.599652	402.60657	38	3.713888888888889	3.2899513244628906
ns_50000_nc_5000	bowtie2	bowtie2	N/A	250000000	50000	5000	1.599652	402.60657	38	0.18833333333333332	3.7742958068847656
ns_50000_nc_5000	indelfree_bruteforce_d5	indelfree_bruteforce	5	250000000	50000	5000	1.599652	402.60657	38	251.31555555555556	85.4627799987793
ns_50000_nc_5000	indelfree_indexed_d5	indelfree_indexed	5	250000000	50000	5000	1.599652	402.60657	38	0.10333333333333333	66.20088958740234
ns_50000_nc_5000	minimap2	minimap2	N/A	250000000	50000	5000	1.599652	402.60657	38	0.014166666666666666	2.6366043090820312
ns_50000_nc_5000	mmseqs2	mmseqs2	min-seq-id=85%	250000000	50000	5000	1.599652	402.60657	38	0.024166666666666666	11.286487579345703
ns_50000_nc_5000	mummer4	mummer4	N/A	250000000	50000	5000	1.599652	402.60657	38	0.04083333333333333	0.2612152099609375
ns_50000_nc_5000	sassy_d5	sassy	5	250000000	50000	5000	1.599652	402.60657	38	18.17888888888889	0.0596466064453125
ns_50000_nc_5000	strobealign	strobealign	N/A	250000000	50000	5000	1.599652	402.60657	38	0.004166666666666667	2.269634246826172
ns_50000_nc_5000	x_mapper	x_mapper	N/A	250000000	50000	5000	1.599652	402.60657	38	0.04	15.747459411621094
ns_75000_nc_5000	blastn	blastn	perc_id=84%	375000000	75000	5000	2.401592	401.074812	38	4.8822222222222225	0.6911697387695312
ns_75000_nc_5000	bowtie1	bowtie1	3	375000000	75000	5000	2.401592	401.074812	38	3.013333333333333	3.6656837463378906
ns_75000_nc_5000	bowtie2	bowtie2	N/A	375000000	75000	5000	2.401592	401.074812	38	0.18	3.72186279296875
ns_75000_nc_5000	indelfree_bruteforce_d5	indelfree_bruteforce	5	375000000	75000	5000	2.401592	401.074812	38	406.9977777777778	85.46659469604492
ns_75000_nc_5000	indelfree_indexed_d5	indelfree_indexed	5	375000000	75000	5000	2.401592	401.074812	38	2.5366666666666666	85.12519454956055
ns_75000_nc_5000	minimap2	minimap2	N/A	375000000	75000	5000	2.401592	401.074812	38	0.01611111111111111	2.6251983642578125
ns_75000_nc_5000	mmseqs2	mmseqs2	min-seq-id=85%	375000000	75000	5000	2.401592	401.074812	38	0.024166666666666666	11.441299438476562
ns_75000_nc_5000	mummer4	mummer4	N/A	375000000	75000	5000	2.401592	401.074812	38	0.045	0.26401519775390625
ns_75000_nc_5000	sassy_d5	sassy	5	375000000	75000	5000	2.401592	401.074812	38	25.825555555555557	0.077056884765625
ns_75000_nc_5000	strobealign	strobealign	N/A	375000000	75000	5000	2.401592	401.074812	38	0.006666666666666666	2.3057174682617188
ns_75000_nc_5000	x_mapper	x_mapper	N/A	375000000	75000	5000	2.401592	401.074812	38	0.05583333333333333	14.328010559082031
ns_100000_nc_10000	blastn	blastn	perc_id=84%	1000000000	100000	10000	3.201222	802.832723	38	12.993333333333334	1.142791748046875
ns_100000_nc_10000	bowtie1	bowtie1	3	1000000000	100000	10000	3.201222	802.832723	38	7.092777777777778	5.689212799072266
ns_100000_nc_10000	bowtie2	bowtie2	N/A	1000000000	100000	10000	3.201222	802.832723	38	3.8316666666666666	6.5179595947265625
ns_100000_nc_10000	indelfree_bruteforce_d5	indelfree_bruteforce	5	1000000000	100000	10000	3.201222	802.832723	38	653.9544444444444	105.35144805908203
ns_100000_nc_10000	indelfree_indexed_d5	indelfree_indexed	5	1000000000	100000	10000	3.201222	802.832723	38	6.236666666666666	39.30362319946289
ns_100000_nc_10000	minimap2	minimap2	N/A	1000000000	100000	10000	3.201222	802.832723	38	0.06666666666666667	5.330875396728516
ns_100000_nc_10000	mmseqs2	mmseqs2	min-seq-id=85%	1000000000	100000	10000	3.201222	802.832723	38	0.059166666666666666	14.126338958740234
ns_100000_nc_10000	mummer4	mummer4	N/A	1000000000	100000	10000	3.201222	802.832723	38	0.0825	0.2733001708984375
ns_100000_nc_10000	sassy_d5	sassy	5	1000000000	100000	10000	3.201222	802.832723	38	68.36	0.1156768798828125
ns_100000_nc_10000	strobealign	strobealign	N/A	1000000000	100000	10000	3.201222	802.832723	38	0.006666666666666666	3.7997207641601562
ns_100000_nc_10000	x_mapper	x_mapper	N/A	1000000000	100000	10000	3.201222	802.832723	38	0.08166666666666667	21.947734832763672
ns_100000_nc_20000	blastn	blastn	perc_id=84%	2000000000	100000	20000	3.200186	1604.143975	38	25.735	2.1281051635742188
ns_100000_nc_20000	bowtie1	bowtie1	3	2000000000	100000	20000	3.200186	1604.143975	38	6.916111111111111	8.129585266113281
ns_100000_nc_20000	bowtie2	bowtie2	N/A	2000000000	100000	20000	3.200186	1604.143975	38	7.4094444444444445	12.208202362060547
ns_100000_nc_20000	indelfree_bruteforce_d5	indelfree_bruteforce	5	2000000000	100000	20000	3.200186	1604.143975	38	2948.612777777778	32.37925720214844
ns_100000_nc_20000	indelfree_indexed_d5	indelfree_indexed	5	2000000000	100000	20000	3.200186	1604.143975	38	13.015555555555556	29.50729751586914
ns_100000_nc_20000	minimap2	minimap2	N/A	2000000000	100000	20000	3.200186	1604.143975	38	0.0525	9.983757019042969
ns_100000_nc_20000	mmseqs2	mmseqs2	min-seq-id=85%	2000000000	100000	20000	3.200186	1604.143975	38	0.042777777777777776	20.159549713134766
ns_100000_nc_20000	mummer4	mummer4	N/A	2000000000	100000	20000	3.200186	1604.143975	38	0.15916666666666668	0.2760353088378906
ns_100000_nc_20000	sassy_d5	sassy	5	2000000000	100000	20000	3.200186	1604.143975	38	141.30055555555555	0.15027618408203125
ns_100000_nc_20000	strobealign	strobealign	N/A	2000000000	100000	20000	3.200186	1604.143975	38	0.015833333333333335	7.579639434814453
ns_100000_nc_20000	x_mapper	x_mapper	N/A	2000000000	100000	20000	3.200186	1604.143975	38	2.1566666666666667	29.34197998046875
ns_500000_nc_100000	blastn	blastn	perc_id=84%	50000000000	500000	100000	16.002956	2232.675503	38	2578.1244444444446	33.08041000366211
ns_500000_nc_100000	bowtie1	bowtie1	3	50000000000	500000	100000	16.002956	2232.675503	38	131.25722222222223	207.0077362060547
ns_500000_nc_100000	bowtie2	bowtie2	N/A	50000000000	500000	100000	16.002956	2232.675503	38	210.2422222222222	208.14885711669922
ns_500000_nc_100000	indelfree_indexed_d3	indelfree_indexed	3	50000000000	500000	100000	16.002956	2232.675503	38	414.5138888888889	70.63277816772461
ns_500000_nc_100000	minimap2	minimap2	N/A	50000000000	500000	100000	16.002956	2232.675503	38	70.34333333333333	89.59324645996094
ns_500000_nc_100000	mmseqs2	mmseqs2	min-seq-id=85%	50000000000	500000	100000	16.002956	2232.675503	38	8.29888888888889	217.16351699829102
ns_500000_nc_100000	mummer4	mummer4	N/A	50000000000	500000	100000	16.002956	2232.675503	38	14.590555555555556	1.8947868347167969
ns_500000_nc_100000	strobealign	strobealign	N/A	50000000000	500000	100000	16.002956	2232.675503	38	0.2275	141.82569122314453
ns_3826979_nc_421431_real_baseline	bowtie1	bowtie1	3	1612807586949	3826979	421431	129.494053	4291.112041	38	109.49277777777777	182.05007934570312
ns_3826979_nc_421431_real_baseline	bowtie2	bowtie2	N/A	1612807586949	3826979	421431	129.494053	4291.112041	38	618.215	164.30214309692383
ns_3826979_nc_421431_real_baseline	minimap2	minimap2	N/A	1612807586949	3826979	421431	129.494053	4291.112041	38	451.0394444444444	77.41864776611328
ns_3826979_nc_421431_real_baseline	mmseqs2	mmseqs2	min-seq-id=85%	1612807586949	3826979	421431	129.494053	4291.112041	38	6.545555555555556	172.09563064575195
ns_3826979_nc_421431_real_baseline	mummer4	mummer4	N/A	1612807586949	3826979	421431	129.494053	4291.112041	38	72.12388888888889	20.54366683959961
ns_3826979_nc_421431_real_baseline	strobealign	strobealign	N/A	1612807586949	3826979	421431	129.494053	4291.112041	38	0.23277777777777778	93.28548812866211
ns_3826979_nc_421431_real_baseline	x_mapper	x_mapper	N/A	1612807586949	3826979	421431	129.494053	4291.112041	38	32.10388888888889	229.8221664428711
