tool_display	base_tool	max_distances	Avg_CPU_Time_Hours	Min_CPU_Time_Hours	Max_CPU_Time_Hours	Total_CPU_Time_Hours	Avg_Peak_Memory_Gb	Max_Peak_Memory_Gb	CPU_Allocations_Used	Num_Simulations
strobealign	strobealign	"[""N/A""]"	0.07115079365079365	0.004166666666666667	0.23277777777777778	0.49805555555555553	36.130708421979634	141.82569122314453	[38]	7
mmseqs2	mmseqs2	"[""min-seq-id=85%""]"	2.1472222222222226	0.024166666666666666	8.29888888888889	15.030555555555557	65.35401371547154	217.16351699829102	[38]	7
indelfree_indexed_d5	indelfree_indexed	"[""5""]"	4.381611111111111	0.015833333333333335	13.015555555555556	21.908055555555556	45.53842315673828	85.12519454956055	[38]	5
x_mapper	x_mapper	"[""N/A""]"	5.751111111111111	0.04	32.10388888888889	34.50666666666667	54.057504653930664	229.8221664428711	[38]	6
mummer4	mummer4	"[""N/A""]"	12.444325396825397	0.04083333333333333	72.12388888888889	87.11027777777778	3.3983067103794644	20.54366683959961	[38]	7
bowtie1	bowtie1	"[""3""]"	37.78253968253968	2.9916666666666667	131.25722222222223	264.47777777777776	59.06742913382394	207.0077362060547	[38]	7
sassy_d5	sassy	"[""5""]"	50.73833333333333	0.026666666666666665	141.30055555555555	253.69166666666666	0.0985992431640625	0.15027618408203125	[38]	5
minimap2	minimap2	"[""N/A""]"	74.50650793650793	0.013333333333333332	451.0394444444444	521.5455555555556	27.182027544294083	89.59324645996094	[38]	7
bowtie2	bowtie2	"[""N/A""]"	120.03587301587301	0.18	618.215	840.2511111111111	57.53740964617048	208.14885711669922	[38]	7
indelfree_indexed_d3	indelfree_indexed	"[""3""]"	414.5138888888889	414.5138888888889	414.5138888888889	414.5138888888889	70.63277816772461	70.63277816772461	[38]	1
blastn	blastn	"[""perc_id=84%""]"	437.5183333333334	0.025	2578.1244444444446	2625.11	6.533489227294922	33.08041000366211	[38]	6
indelfree_bruteforce_d5	indelfree_bruteforce	"[""5""]"	852.2121111111112	0.18	2948.612777777778	4261.060555555556	67.22599639892579	105.35144805908203	[38]	5
