simulation,threshold,metric,n_spacers,n_contigs,spacer_bp,contig_bp,count_product,length_product,n_non_planned,non_planned_rate,per_spacer_per_gbp,per_gbp2
ns_100000_nc_10000,0,Hamming,100000,10000,3201222.0,802832723.0,1000000000,2570045775187506.0,0,0.0,0.0,0.0
ns_100000_nc_10000,0,Edit,100000,10000,3201222.0,802832723.0,1000000000,2570045775187506.0,0,0.0,0.0,0.0
ns_100000_nc_10000,1,Hamming,100000,10000,3201222.0,802832723.0,1000000000,2570045775187506.0,0,0.0,0.0,0.0
ns_100000_nc_10000,1,Edit,100000,10000,3201222.0,802832723.0,1000000000,2570045775187506.0,0,0.0,0.0,0.0
ns_100000_nc_10000,2,Hamming,100000,10000,3201222.0,802832723.0,1000000000,2570045775187506.0,4,0.002427862145987351,0.00004982357950050823,1556.3925120003619
ns_100000_nc_10000,2,Edit,100000,10000,3201222.0,802832723.0,1000000000,2570045775187506.0,14,0.008286622431886922,0.0001743825282517788,5447.373792001266
ns_100000_nc_10000,3,Hamming,100000,10000,3201222.0,802832723.0,1000000000,2570045775187506.0,113,0.04787121372590553,0.0014075161208893575,43968.08846401022
ns_100000_nc_10000,3,Edit,100000,10000,3201222.0,802832723.0,1000000000,2570045775187506.0,722,0.2961674617792199,0.008993156099841736,280928.84841606533
ns_100000_nc_10000,4,Hamming,100000,10000,3201222.0,802832723.0,1000000000,2570045775187506.0,1750,0.5554374148990533,0.02179781603147235,680921.7240001584
ns_100000_nc_10000,4,Edit,100000,10000,3201222.0,802832723.0,1000000000,2570045775187506.0,21624,6.2474359048439005,0.2693462707797475,8413857.919873957
ns_100000_nc_10000,5,Hamming,100000,10000,3201222.0,802832723.0,1000000000,2570045775187506.0,22968,5.5703902037965385,0.28608699349191824,8936805.803906078
ns_100000_nc_10000,5,Edit,100000,10000,3201222.0,802832723.0,1000000000,2570045775187506.0,487729,54.78796062061622,6.075101151550845,189774440.87135613
ns_100000_nc_20000,0,Hamming,100000,20000,3200186.0,1604143975.0,2000000000,5133559090779350.0,0,0.0,0.0,0.0
ns_100000_nc_20000,0,Edit,100000,20000,3200186.0,1604143975.0,2000000000,5133559090779350.0,0,0.0,0.0,0.0
ns_100000_nc_20000,1,Hamming,100000,20000,3200186.0,1604143975.0,2000000000,5133559090779350.0,0,0.0,0.0,0.0
ns_100000_nc_20000,1,Edit,100000,20000,3200186.0,1604143975.0,2000000000,5133559090779350.0,0,0.0,0.0,0.0
ns_100000_nc_20000,2,Hamming,100000,20000,3200186.0,1604143975.0,2000000000,5133559090779350.0,7,0.0028399409292286723,0.00004363698090129348,1363.576395287445
ns_100000_nc_20000,2,Edit,100000,20000,3200186.0,1604143975.0,2000000000,5133559090779350.0,25,0.009895660159280546,0.00015584636036176241,4869.915697455161
ns_100000_nc_20000,3,Hamming,100000,20000,3200186.0,1604143975.0,2000000000,5133559090779350.0,187,0.05269312594220663,0.001165730775505983,36426.9694169646
ns_100000_nc_20000,3,Edit,100000,20000,3200186.0,1604143975.0,2000000000,5133559090779350.0,1393,0.38166997739571207,0.008683759199357403,271351.70266220154
ns_100000_nc_20000,4,Hamming,100000,20000,3200186.0,1604143975.0,2000000000,5133559090779350.0,3403,0.8726088517359865,0.0212138065724431,662892.9247375964
ns_100000_nc_20000,4,Edit,100000,20000,3200186.0,1604143975.0,2000000000,5133559090779350.0,42976,9.888633225954901,0.2679061273162841,8371579.880553319
ns_100000_nc_20000,5,Hamming,100000,20000,3200186.0,1604143975.0,2000000000,5133559090779350.0,44515,9.90741358972647,0.27750002926015416,8671371.89088866
