file,n_seqs,median_length,avg_length,sum_length,min_length,max_length,gc_frac_mean,type,name
iphop_filtered_spacers,3826979.0,34.0,33.837147525502495,129494053.0,25.0,40.0,0.4761380439747022,spacers,all_spacers
imgvr4_fraction_0.0005_contigs,279.0,15818.0,25220.756272401435,7036591.0,1060.0,233373.0,0.48038537717872704,contigs,fraction_0.0005
imgvr4_fraction_0.001_contigs,421.0,14902.0,23148.862232779098,9745671.0,1700.0,246318.0,0.4800441873941781,contigs,fraction_0.001
imgvr4_fraction_0.005_contigs,2107.0,16000.0,27080.878974845753,57059412.0,1060.0,618736.0,0.47245651498479546,contigs,fraction_0.005
imgvr4_fraction_0.01_contigs,4214.0,18655.0,29347.00284765069,123668270.0,1060.0,482156.0,0.4729507937134983,contigs,fraction_0.01
imgvr4_fraction_0.05_contigs,21071.0,34591.0,33936.360970053625,715073062.0,1060.0,505259.0,0.4743270943850307,contigs,fraction_0.05
imgvr4_fraction_0.1_contigs,42143.0,36154.0,35700.7478347531,1504536616.0,1060.0,596785.0,0.4748090592640197,contigs,fraction_0.1
imgvr4_fraction_1_contigs,421431.0,40550.0,44777.53935519694,1690774004.0,1060.0,711471.0,0.47546091511814076,contigs,fraction_1
ns_100000_nc_10000_spacers,100000.0,32.0,32.01222,3201222.0,25.0,40.0,0.49019877734321576,spacers,ns_100000_nc_10000
ns_100000_nc_10000_contigs,10000.0,80582.5,80283.2723,802832723.0,10067.0,149921.0,0.49002908754253033,contigs,ns_100000_nc_10000
ns_100000_nc_20000_spacers,100000.0,32.0,32.00186,3200186.0,25.0,40.0,0.48982337999371056,spacers,ns_100000_nc_20000
ns_100000_nc_20000_contigs,20000.0,80348.5,80207.19875,1604143975.0,10014.0,149390.0,0.49001112182685447,contigs,ns_100000_nc_20000
ns_50000_nc_5000_spacers,50000.0,32.0,31.99304,1599652.0,25.0,40.0,0.49082402409176445,spacers,ns_50000_nc_5000
ns_50000_nc_5000_contigs,5000.0,80264.5,80521.314,402606570.0,11391.0,149534.0,0.4899928220115341,contigs,ns_50000_nc_5000
ns_75000_nc_5000_spacers,75000.0,32.0,32.021226666666664,2401592.0,25.0,40.0,0.48962141329513514,spacers,ns_75000_nc_5000
ns_75000_nc_5000_contigs,5000.0,80453.5,80214.9624,401074812.0,10244.0,149609.0,0.48998426650653565,contigs,ns_75000_nc_5000
ns_3826979_nc_421431,421431.0,50929.0,50947.797445,4291112041.0,2006.0,100000.0,0.459993,contigs,ns_3826979_nc_421431
ns_500_nc_5000_HIGH_INSERTION_RATE/simulated_data/simulated_spacers.fa,500.0,32.0,32.014,16007.0,25.0,39.0,0.489288450119831,spacers,ns_500_nc_5000_HIGH_INSERTION_RATE
ns_500_nc_5000_HIGH_INSERTION_RATE/simulated_data/simulated_contigs.fa,5000.0,80113.5,80155.9376,400779688.0,11241.0,149479.0,0.4901398905587169,contigs,ns_500_nc_5000_HIGH_INSERTION_RATE
