tool	mean_recall	std_recall	min_recall	max_recall	n_fractions
indelfree_bruteforce	1.0	0.0	1.0	1.0	2
indelfree_indexed	0.9999770187197493	0.000022022228022453702	0.9999487043252513	1.0	6
bowtie1	0.9999274425302308	0.000033689160818760864	0.9999043199540736	1.0	7
sassy	0.9769225723642532	0.0026001187680445032	0.9739270444336202	0.9798593503324882	4
bowtie2	0.9713141451771931	0.0035758780599805216	0.9662350668860433	0.9776587092761805	7
blastn	0.7843952377987989	0.006014236896721854	0.7776965957677112	0.7932354207530019	7
mmseqs2	0.7517391385192482	0.013383572876656608	0.735051305856937	0.7772090130603263	7
x_mapper	0.6281313501681172	0.20074696578699777	0.26238596818934196	0.8372960819021193	7
strobealign	0.6110315643747745	0.127352276742133	0.36729516955392383	0.7294168301200784	7
mummer4	0.5834263108297376	0.013906650434323441	0.5700272353035192	0.6047457302779505	7
minimap2	0.00045495204184404755	0.00016099057633511943	0.00028805875010267154	0.0007035774205769335	7
