tool	distance	n_found	n_total	recall
blastn	0	7486741	7486741	1.0
bowtie1	0	7486741	7486741	1.0
bowtie2	0	7486741	7486741	1.0
minimap2	0	7509	7486741	0.0010029731227512745
mmseqs2	0	7304025	7486741	0.975594721388118
mummer4	0	7486741	7486741	1.0
strobealign	0	5893383	7486741	0.787176022250536
x_mapper	0	4087837	7486741	0.5460102065772009
blastn	1	5029204	5346835	0.9405945760435847
bowtie1	1	5346497	5346835	0.9999367850326408
bowtie2	1	5346635	5346835	0.9999625946938703
minimap2	1	0	5346835	0.0
mmseqs2	1	5090001	5346835	0.9519652280274218
mummer4	1	3924836	5346835	0.7340484604443563
strobealign	1	1865128	5346835	0.3488284190553851
x_mapper	1	1381894	5346835	0.25845084054398537
blastn	2	3399709	4831328	0.7036800233807351
bowtie1	2	4830817	4831328	0.9998942319792818
bowtie2	2	4825807	4831328	0.9988572500149028
minimap2	2	0	4831328	0.0
mmseqs2	2	3308746	4831328	0.6848522807807709
mummer4	2	1727249	4831328	0.3575101918147557
strobealign	2	610030	4831328	0.126265490564913
x_mapper	2	503592	4831328	0.1042346948913425
blastn	3	2394576	5612263	0.42666852925459836
bowtie1	3	5611392	5612263	0.9998448041369409
bowtie2	3	4965249	5612263	0.8847142409398847
minimap2	3	0	5612263	0.0
mmseqs2	3	1407140	5612263	0.25072595493119265
mummer4	3	512216	5612263	0.09126728380334279
strobealign	3	181050	5612263	0.03225971412957661
x_mapper	3	134279	5612263	0.023925999191413517
