tool	distance	n_found	n_total	recall
blastn	0	7486741	7486741	1.0
bowtie1	0	7486741	7486741	1.0
bowtie2	0	7486741	7486741	1.0
minimap2	0	7509	7486741	0.0010029731227512745
mmseqs2	0	7304025	7486741	0.975594721388118
mummer4	0	7486741	7486741	1.0
strobealign	0	5893383	7486741	0.787176022250536
x_mapper	0	4087837	7486741	0.5460102065772009
blastn	1	12515945	12833576	0.9752500004675236
bowtie1	1	12833238	12833576	0.9999736628356741
bowtie2	1	12833376	12833576	0.9999844158790971
minimap2	1	7509	12833576	0.0005851058192977546
mmseqs2	1	12394026	12833576	0.9657499982857467
mummer4	1	11411577	12833576	0.8891969783012934
strobealign	1	7758511	12833576	0.604547867250718
x_mapper	1	5469731	12833576	0.4262047460505162
blastn	2	15915654	17664904	0.9009759690740465
bowtie1	2	17664055	17664904	0.9999519386009683
bowtie2	2	17659183	17664904	0.9996761374983979
minimap2	2	7509	17664904	0.0004250801476192568
mmseqs2	2	15702772	17664904	0.8889248421616104
mummer4	2	13138826	17664904	0.7437813418063297
strobealign	2	8368541	17664904	0.4737382665651622
x_mapper	2	5973323	17664904	0.3381463607161409
blastn	3	18310230	23277167	0.7866176326354491
bowtie1	3	23275447	23277167	0.9999261078463715
bowtie2	3	22624432	23277167	0.9719581425007605
minimap2	3	7509	23277167	0.00032259080325367775
mmseqs2	3	17109912	23277167	0.735051305856937
mummer4	3	13651042	23277167	0.5864563329377669
strobealign	3	8549591	23277167	0.36729516955392383
x_mapper	3	6107602	23277167	0.26238596818934196
