distance_hamming	tool	distance_metric	mode	total_possible	tool_matches	recall
0	blastn	distance_hamming	cumulative	7486741	7486741	1.0
0	bowtie1	distance_hamming	cumulative	7486741	7486741	1.0
0	bowtie2	distance_hamming	cumulative	7486741	7486741	1.0
0	minimap2	distance_hamming	cumulative	7486741	7509	0.0010029731227512745
0	mmseqs2	distance_hamming	cumulative	7486741	7300313	0.9750989115290618
0	mummer4	distance_hamming	cumulative	7486741	7486741	1.0
0	strobealign	distance_hamming	cumulative	7486741	5893368	0.7871740187085409
0	x_mapper	distance_hamming	cumulative	7486741	4087837	0.5460102065772009
1	blastn	distance_hamming	cumulative	12833576	11785150	0.9183060122915079
1	bowtie1	distance_hamming	cumulative	12833576	12833232	0.9999731953120471
1	bowtie2	distance_hamming	cumulative	12833576	12833340	0.9999816107373346
1	minimap2	distance_hamming	cumulative	12833576	7509	0.0005851058192977546
1	mmseqs2	distance_hamming	cumulative	12833576	11877006	0.9254634873397719
1	mummer4	distance_hamming	cumulative	12833576	11060296	0.8618249504269114
1	strobealign	distance_hamming	cumulative	12833576	7758437	0.6045421011259839
1	x_mapper	distance_hamming	cumulative	12833576	5469685	0.4262011617027086
2	blastn	distance_hamming	cumulative	17664904	15073845	0.8533216483939001
2	bowtie1	distance_hamming	cumulative	17664904	17664047	0.9999514857255947
2	bowtie2	distance_hamming	cumulative	17664904	17652033	0.9992713801331725
2	minimap2	distance_hamming	cumulative	17664904	7509	0.0004250801476192568
2	mmseqs2	distance_hamming	cumulative	17664904	15037808	0.8512816146637423
2	mummer4	distance_hamming	cumulative	17664904	12876174	0.7289127639753944
2	strobealign	distance_hamming	cumulative	17664904	8368432	0.47373209613819584
2	x_mapper	distance_hamming	cumulative	17664904	5973300	0.33814505869944156
3	blastn	distance_hamming	cumulative	23277167	18310230	0.7866176326354491
3	bowtie1	distance_hamming	cumulative	23277167	23275447	0.9999261078463715
3	bowtie2	distance_hamming	cumulative	23277167	22624432	0.9719581425007605
3	minimap2	distance_hamming	cumulative	23277167	7509	0.00032259080325367775
3	mmseqs2	distance_hamming	cumulative	23277167	17109912	0.735051305856937
3	mummer4	distance_hamming	cumulative	23277167	13651042	0.5864563329377669
3	strobealign	distance_hamming	cumulative	23277167	8549591	0.36729516955392383
3	x_mapper	distance_hamming	cumulative	23277167	6107602	0.26238596818934196
