tool	bin_idx	n_found	n_total	recall
blastn	0	105653	150925	0.7000364419413616
bowtie1	0	150911	150925	0.9999072386947159
bowtie2	0	141051	150925	0.9345767765446413
minimap2	0	161	150925	0.0010667550107669372
mmseqs2	0	95668	150925	0.6338777538512507
mummer4	0	69777	150925	0.46232897134338247
strobealign	0	68101	150925	0.45122411793937384
x_mapper	0	55081	150925	0.3649561040251781
blastn	1	362993	507860	0.7147501279880282
bowtie1	1	507828	507860	0.9999369905091955
bowtie2	1	486004	507860	0.9569645177804906
minimap2	1	398	507860	0.0007836805418816209
mmseqs2	1	340778	507860	0.6710077580435553
mummer4	1	249792	507860	0.4918520852203363
strobealign	1	231284	507860	0.4554089709762533
x_mapper	1	189238	507860	0.37261843815224666
blastn	2	684618	935592	0.7317484544545058
bowtie1	2	935478	935592	0.9998781520149809
bowtie2	2	899189	935592	0.961090945625871
minimap2	2	691	935592	0.0007385698039316283
mmseqs2	2	648400	935592	0.6930371358455395
mummer4	2	482908	935592	0.5161523399088491
strobealign	2	416052	935592	0.44469384090500985
x_mapper	2	364083	935592	0.38914719236590306
blastn	3	1419532	1903951	0.7455717085156078
bowtie1	3	1903791	1903951	0.9999159642238692
bowtie2	3	1838835	1903951	0.9657995400091705
minimap2	3	1015	1903951	0.0005331019548297199
mmseqs2	3	1348971	1903951	0.7085114060183272
mummer4	3	1011138	1903951	0.5310735412833628
strobealign	3	801471	1903951	0.42095148457076886
x_mapper	3	745069	1903951	0.3913278230374626
blastn	4	2406020	3153196	0.76304168849637
bowtie1	4	3153000	3153196	0.9999378408446541
bowtie2	4	3058746	3153196	0.970046264171336
minimap2	4	1715	3153196	0.0005438926092764294
mmseqs2	4	2316132	3153196	0.7345347387222361
mummer4	4	1757057	3153196	0.5572305051763353
strobealign	4	1305057	3153196	0.4138838816235971
x_mapper	4	1165997	3153196	0.36978259518279233
blastn	5	3554896	4541977	0.7826759140347914
bowtie1	5	4541712	4541977	0.999941655362852
bowtie2	5	4414724	4541977	0.971982905241484
minimap2	5	1772	4541977	0.0003901384793450077
mmseqs2	5	3424363	4541977	0.7539366667862916
mummer4	5	2646843	4541977	0.5827512997093557
strobealign	5	1862009	4541977	0.4099556206471323
x_mapper	5	1577396	4541977	0.3472928198447504
blastn	6	4186152	5221326	0.8017411668989831
bowtie1	6	5220856	5221326	0.9999099845518169
bowtie2	6	5089955	5221326	0.9748395330994464
minimap2	6	679	5221326	0.00013004359429003284
mmseqs2	6	3997830	5221326	0.7656733174676318
mummer4	6	3137070	5221326	0.6008186426206676
strobealign	6	2133313	5221326	0.4085768634251146
x_mapper	6	1479165	5221326	0.2832929795994351
blastn	7	4153948	5087458	0.8165075760822006
bowtie1	7	5087100	5087458	0.9999296308686971
bowtie2	7	4996655	5087458	0.9821515971237502
minimap2	7	679	5087458	0.0001334654752923759
mmseqs2	7	3964891	5087458	0.779346188214232
mummer4	7	3194434	5087458	0.627903758615796
strobealign	7	1444831	5087458	0.283998609914814
x_mapper	7	506581	5087458	0.09957448297361865
blastn	8	1388044	1686921	0.8228269136491869
bowtie1	8	1686817	1686921	0.9999383492173018
bowtie2	8	1632276	1686921	0.9676066632640177
minimap2	8	399	1686921	0.00023652559900552545
mmseqs2	8	963046	1686921	0.5708898045610908
mummer4	8	1084686	1686921	0.6429975084784646
strobealign	8	284552	1686921	0.168681283830126
x_mapper	8	24916	1686921	0.014770104824114467
blastn	9	48374	87961	0.5499482725298712
bowtie1	9	87954	87961	0.9999204192767249
bowtie2	9	66997	87961	0.7616671024658656
minimap2	9	0	87961	0.0
mmseqs2	9	9833	87961	0.11178817885199123
mummer4	9	17337	87961	0.19709871420288538
strobealign	9	2921	87961	0.03320789895521879
x_mapper	9	76	87961	0.0008640192812723821
