tool	distance	recall	n_fractions
mummer4	1	0.738925882983399	7
mmseqs2	1	0.9695796419447186	7
x_mapper	1	0.6974656560988325	7
mummer4	2	0.36207861886893156	7
blastn	2	0.701655720178193	7
x_mapper	3	0.28878624378278683	7
x_mapper	2	0.49992111604701023	7
indelfree_bruteforce	2	1.0	2
mmseqs2	3	0.2789346669459731	7
blastn	0	1.0	7
minimap2	1	0.0	7
blastn	3	0.43221238057524386	7
mummer4	3	0.09300785242588548	7
strobealign	0	0.9544032411314968	7
bowtie1	3	0.9998788721854336	7
sassy	3	0.9042001706484983	4
indelfree_indexed	1	0.9999803767550363	6
indelfree_bruteforce	3	1.0	2
indelfree_bruteforce	0	1.0	2
x_mapper	0	0.9304636577403672	7
sassy	0	1.0	4
bowtie2	2	0.9980457127666441	7
sassy	2	0.9983276898575265	4
indelfree_indexed	3	0.9999498038089416	6
strobealign	2	0.46060203017651785	7
indelfree_indexed	0	1.0	6
mummer4	0	1.0	7
minimap2	3	0.0	7
blastn	1	0.9386326719328404	7
bowtie2	1	0.9999631017699844	7
minimap2	2	0.0	7
bowtie2	3	0.8832036304327765	7
indelfree_indexed	2	0.9999725622893586	6
bowtie1	1	0.9999231749102211	7
strobealign	3	0.20342915080438914	7
mmseqs2	2	0.7102070101238936	7
minimap2	0	0.0014639014747980814	7
strobealign	1	0.7113066492531439	7
bowtie1	0	1.0	7
mmseqs2	0	0.9855759700768105	7
sassy	1	1.0	4
bowtie1	2	0.9998854334552479	7
bowtie2	0	1.0	7
indelfree_bruteforce	1	1.0	2
