tool	bin_idx	n_found	n_total	recall
all_tools_combined	0	0	0	NaN
blastn	0	0	0	NaN
bowtie1	0	0	0	NaN
bowtie2	0	0	0	NaN
indelfree_bruteforce	0	0	0	NaN
indelfree_indexed	0	0	0	NaN
mmseqs2	0	0	0	NaN
mummer4	0	0	0	NaN
sassy	0	0	0	NaN
strobealign	0	0	0	NaN
x_mapper	0	0	0	NaN
all_tools_combined	1	0	0	NaN
blastn	1	0	0	NaN
bowtie1	1	0	0	NaN
bowtie2	1	0	0	NaN
indelfree_bruteforce	1	0	0	NaN
indelfree_indexed	1	0	0	NaN
mmseqs2	1	0	0	NaN
mummer4	1	0	0	NaN
sassy	1	0	0	NaN
strobealign	1	0	0	NaN
x_mapper	1	0	0	NaN
all_tools_combined	2	0	0	NaN
blastn	2	0	0	NaN
bowtie1	2	0	0	NaN
bowtie2	2	0	0	NaN
indelfree_bruteforce	2	0	0	NaN
indelfree_indexed	2	0	0	NaN
mmseqs2	2	0	0	NaN
mummer4	2	0	0	NaN
sassy	2	0	0	NaN
strobealign	2	0	0	NaN
x_mapper	2	0	0	NaN
all_tools_combined	3	0	0	NaN
blastn	3	0	0	NaN
bowtie1	3	0	0	NaN
bowtie2	3	0	0	NaN
indelfree_bruteforce	3	0	0	NaN
indelfree_indexed	3	0	0	NaN
mmseqs2	3	0	0	NaN
mummer4	3	0	0	NaN
sassy	3	0	0	NaN
strobealign	3	0	0	NaN
x_mapper	3	0	0	NaN
all_tools_combined	4	0	0	NaN
blastn	4	0	0	NaN
bowtie1	4	0	0	NaN
bowtie2	4	0	0	NaN
indelfree_bruteforce	4	0	0	NaN
indelfree_indexed	4	0	0	NaN
mmseqs2	4	0	0	NaN
mummer4	4	0	0	NaN
sassy	4	0	0	NaN
strobealign	4	0	0	NaN
x_mapper	4	0	0	NaN
all_tools_combined	5	287	287	1.0
blastn	5	236	287	0.8222996515679443
bowtie1	5	287	287	1.0
bowtie2	5	287	287	1.0
indelfree_bruteforce	5	287	287	1.0
indelfree_indexed	5	287	287	1.0
mmseqs2	5	170	287	0.5923344947735192
mummer4	5	143	287	0.49825783972125437
sassy	5	281	287	0.9790940766550522
strobealign	5	95	287	0.3310104529616725
x_mapper	5	107	287	0.37282229965156793
all_tools_combined	6	4847	4847	1.0
blastn	6	3638	4847	0.7505673612543842
bowtie1	6	4847	4847	1.0
bowtie2	6	4704	4847	0.9704972147720239
indelfree_bruteforce	6	4847	4847	1.0
indelfree_indexed	6	4847	4847	1.0
mmseqs2	6	3307	4847	0.6822776975448731
mummer4	6	2415	4847	0.49824633794099443
sassy	6	4733	4847	0.9764802970909842
strobealign	6	1498	4847	0.30905714875180523
x_mapper	6	2217	4847	0.4573963276253353
all_tools_combined	7	18266	18266	1.0
blastn	7	14287	18266	0.7821635826125041
bowtie1	7	18266	18266	1.0
bowtie2	7	17936	18266	0.9819336472134019
indelfree_bruteforce	7	18266	18266	1.0
indelfree_indexed	7	18266	18266	1.0
mmseqs2	7	13136	18266	0.7191503339537939
mummer4	7	9773	18266	0.535037775101281
sassy	7	17953	18266	0.9828643381145298
strobealign	7	5694	18266	0.31172670535421
x_mapper	7	6088	18266	0.33329683565093615
all_tools_combined	8	88201	88201	1.0
blastn	8	68288	88201	0.7742315846759107
bowtie1	8	88201	88201	1.0
bowtie2	8	85389	88201	0.9681182753030011
indelfree_bruteforce	8	88201	88201	1.0
indelfree_indexed	8	88201	88201	1.0
mmseqs2	8	59654	88201	0.6763415380777996
mummer4	8	44759	88201	0.5074659017471457
sassy	8	86650	88201	0.982415165360937
strobealign	8	23124	88201	0.26217389825512183
x_mapper	8	10230	88201	0.11598507953424564
all_tools_combined	9	307710	307710	1.0
blastn	9	238672	307710	0.7756394007344578
bowtie1	9	307710	307710	1.0
bowtie2	9	301678	307710	0.980397127165188
indelfree_bruteforce	9	307710	307710	1.0
indelfree_indexed	9	307710	307710	1.0
mmseqs2	9	145514	307710	0.4728933086347535
mummer4	9	162379	307710	0.5277014071690878
sassy	9	302378	307710	0.9826719963602093
strobealign	9	48494	307710	0.15759643820480324
x_mapper	9	4304	307710	0.013987195736245166
