tool	fraction_0.0005	fraction_0.001	fraction_0.005	fraction_0.01	fraction_0.05	fraction_0.1	fraction_1
blastn	0.7906144931683239	0.7932354207530019	0.7776965957677112	0.7834485728919309	0.7808138990082218	0.7783400503669531	0.7866176326354491
bowtie1	1.0	0.9999043199540736	0.9999052876549224	0.9999301578432742	0.9999201764909355	0.9999060479220392	0.9999261078463715
bowtie2	0.9662350668860433	0.9776587092761805	0.9686908047843265	0.9730060064254784	0.9706955172736916	0.97095476909387	0.9719581425007605
indelfree_bruteforce	1.0	1.0					
indelfree_indexed	1.0	1.0	0.9999864696649889	0.9999708991013643	0.9999560392268919	0.9999487043252513	
minimap2	0.000500751126690035	0.0006219202985217433	0.0007035774205769335	0.0004248731200819481	0.00028805875010267154	0.0003228927736813232	0.00032259080325367775
mmseqs2	0.7574933829315401	0.7772090130603263	0.7451832007360503	0.7546037621641757	0.7478028289914358	0.7448304758942726	0.735051305856937
mummer4	0.5991844910222477	0.6047457302779505	0.570601288087893	0.5784793034408903	0.5744897947378954	0.5700272353035192	0.5864563329377669
sassy	0.9781100221761213	0.9798593503324882	0.9739270444336202	0.9757938725147832			
strobealign	0.7014807926174976	0.7294168301200784	0.6871380635384532	0.6704090422312241	0.5865454583315498	0.5349355942306945	0.36729516955392383
x_mapper	0.828242363545318	0.8372960819021193	0.7121015316339232	0.6694603529356986	0.5684278354987871	0.5190053174716308	0.26238596818934196
