tool	distance	recall
mmseqs2	1	0.9655754167923792
x_mapper	1	0.8505285969728076
indelfree_indexed	1	0.99326984306554
bowtie2	0	1.0
mmseqs2	3	0.24322486113634745
bowtie1	0	1.0
indelfree_indexed	3	0.8141680499834829
indelfree_bruteforce	1	0.9933279136290099
strobealign	1	0.8360188774930044
strobealign	0	0.990829495962463
indelfree_bruteforce	3	0.8266931358783774
mmseqs2	2	0.723982368109313
blastn	2	0.6814323658080809
minimap2	0	0.0018175953934240073
sassy	1	1.0
mummer4	0	1.0
sassy	0	1.0
mummer4	1	0.7415663668761856
bowtie2	3	0.7304531146112336
mummer4	3	0.08184586035505002
mmseqs2	0	0.9853439207112363
sassy	3	1.0
bowtie1	3	0.7931180399970403
indelfree_bruteforce	0	1.0
minimap2	3	0.0
x_mapper	0	0.9996951270487964
bowtie2	2	0.9925485859427766
sassy	2	1.0
indelfree_bruteforce	2	0.9807099972041757
bowtie1	2	0.970848194223896
indelfree_indexed	2	0.9812269873696828
strobealign	3	0.21796245946744422
minimap2	2	0.0
x_mapper	3	0.3744900329238749
strobealign	2	0.566288951521791
blastn	0	1.0
mummer4	2	0.36266782839604705
bowtie1	1	0.9900172472408408
bowtie2	1	0.9998329682120015
blastn	3	0.35238007718446696
indelfree_indexed	0	1.0
minimap2	1	0.0
blastn	1	0.926384528781326
x_mapper	2	0.6800703600344262
