tool	distance	n_found	n_total	recall	fraction
blastn	0	4371	4371	1.0	fraction_0.0005
bowtie1	0	4371	4371	1.0	fraction_0.0005
bowtie2	0	4371	4371	1.0	fraction_0.0005
indelfree_bruteforce	0	4371	4371	1.0	fraction_0.0005
indelfree_indexed	0	4371	4371	1.0	fraction_0.0005
minimap2	0	7	4371	0.001601464195836193	fraction_0.0005
mmseqs2	0	4287	4371	0.9807824296499656	fraction_0.0005
mummer4	0	4371	4371	1.0	fraction_0.0005
sassy	0	4371	4371	1.0	fraction_0.0005
strobealign	0	4334	4371	0.9915351178220086	fraction_0.0005
x_mapper	0	4371	4371	1.0	fraction_0.0005
blastn	1	7584	7862	0.9646400407021114	fraction_0.0005
bowtie1	1	7827	7862	0.9955482065632155	fraction_0.0005
bowtie2	1	7862	7862	1.0	fraction_0.0005
indelfree_bruteforce	1	7840	7862	0.9972017298397354	fraction_0.0005
indelfree_indexed	1	7840	7862	0.9972017298397354	fraction_0.0005
minimap2	1	7	7862	0.0008903586873569067	fraction_0.0005
mmseqs2	1	7636	7862	0.9712541338081913	fraction_0.0005
mummer4	1	6989	7862	0.8889595522767744	fraction_0.0005
sassy	1	7862	7862	1.0	fraction_0.0005
strobealign	1	7216	7862	0.917832612566777	fraction_0.0005
x_mapper	1	7518	7862	0.9562452302213177	fraction_0.0005
blastn	2	9779	11138	0.8779852756329682	fraction_0.0005
bowtie1	2	10993	11138	0.9869815047584845	fraction_0.0005
bowtie2	2	11107	11138	0.9972167355000898	fraction_0.0005
indelfree_bruteforce	2	11044	11138	0.9915604237744657	fraction_0.0005
indelfree_indexed	2	11044	11138	0.9915604237744657	fraction_0.0005
minimap2	2	7	11138	0.0006284790806248878	fraction_0.0005
mmseqs2	2	9937	11138	0.89217094630993	fraction_0.0005
mummer4	2	8189	11138	0.7352307416053151	fraction_0.0005
sassy	2	11138	11138	1.0	fraction_0.0005
strobealign	2	9067	11138	0.8140599748608368	fraction_0.0005
x_mapper	2	10083	11138	0.905279224277249	fraction_0.0005
blastn	3	11109	14861	0.7475270843146491	fraction_0.0005
bowtie1	3	13979	14861	0.940650023551578	fraction_0.0005
bowtie2	3	13794	14861	0.9282013323464101	fraction_0.0005
indelfree_bruteforce	3	14102	14861	0.9489267209474463	fraction_0.0005
indelfree_indexed	3	14102	14861	0.9489267209474463	fraction_0.0005
minimap2	3	7	14861	0.0004710315591144607	fraction_0.0005
mmseqs2	3	10811	14861	0.7274745979409192	fraction_0.0005
mummer4	3	8481	14861	0.5706883789785344	fraction_0.0005
sassy	3	14861	14861	1.0	fraction_0.0005
strobealign	3	9872	14861	0.6642890787968508	fraction_0.0005
x_mapper	3	11870	14861	0.798734943812664	fraction_0.0005
blastn	0	6741	6741	1.0	fraction_0.001
bowtie1	0	6741	6741	1.0	fraction_0.001
bowtie2	0	6741	6741	1.0	fraction_0.001
indelfree_bruteforce	0	6741	6741	1.0	fraction_0.001
indelfree_indexed	0	6741	6741	1.0	fraction_0.001
minimap2	0	13	6741	0.0019284972556000593	fraction_0.001
mmseqs2	0	6641	6741	0.9851654057261534	fraction_0.001
mummer4	0	6741	6741	1.0	fraction_0.001
sassy	0	6741	6741	1.0	fraction_0.001
strobealign	0	6703	6741	0.9943628541759383	fraction_0.001
x_mapper	0	6741	6741	1.0	fraction_0.001
blastn	1	11465	11853	0.9672656711381085	fraction_0.001
bowtie1	1	11802	11853	0.9956972918248544	fraction_0.001
bowtie2	1	11851	11853	0.9998312663460728	fraction_0.001
indelfree_bruteforce	1	11817	11853	0.996962794229309	fraction_0.001
indelfree_indexed	1	11817	11853	0.996962794229309	fraction_0.001
minimap2	1	13	11853	0.0010967687505272926	fraction_0.001
mmseqs2	1	11592	11853	0.9779802581624905	fraction_0.001
mummer4	1	10592	11853	0.8936134311988526	fraction_0.001
sassy	1	11853	11853	1.0	fraction_0.001
strobealign	1	11145	11853	0.9402682865097444	fraction_0.001
x_mapper	1	11428	11853	0.9641440985404539	fraction_0.001
blastn	2	14629	16491	0.8870899278394275	fraction_0.001
bowtie1	2	16320	16491	0.989630707658723	fraction_0.001
bowtie2	2	16465	16491	0.9984233824510339	fraction_0.001
indelfree_bruteforce	2	16378	16491	0.9931477775756473	fraction_0.001
indelfree_indexed	2	16378	16491	0.9931477775756473	fraction_0.001
minimap2	2	13	16491	0.0007883087744830514	fraction_0.001
mmseqs2	2	15083	16491	0.9146200958098357	fraction_0.001
mummer4	2	12295	16491	0.7455581832514705	fraction_0.001
sassy	2	16491	16491	1.0	fraction_0.001
strobealign	2	13956	16491	0.846279788975805	fraction_0.001
x_mapper	2	15106	16491	0.9160147959493057	fraction_0.001
blastn	3	16670	22140	0.7529358626919602	fraction_0.001
bowtie1	3	20901	22140	0.9440379403794038	fraction_0.001
bowtie2	3	20767	22140	0.9379855465221318	fraction_0.001
indelfree_bruteforce	3	21078	22140	0.9520325203252032	fraction_0.001
indelfree_indexed	3	21078	22140	0.9520325203252032	fraction_0.001
minimap2	3	13	22140	0.0005871725383920506	fraction_0.001
mmseqs2	3	16553	22140	0.7476513098464318	fraction_0.001
mummer4	3	12806	22140	0.5784101174345077	fraction_0.001
sassy	3	22140	22140	1.0	fraction_0.001
strobealign	3	15331	22140	0.692457091237579	fraction_0.001
x_mapper	3	17854	22140	0.8064137308039747	fraction_0.001
blastn	0	21987	21987	1.0	fraction_0.005
bowtie1	0	21987	21987	1.0	fraction_0.005
bowtie2	0	21987	21987	1.0	fraction_0.005
indelfree_indexed	0	21987	21987	1.0	fraction_0.005
minimap2	0	52	21987	0.0023650338836585256	fraction_0.005
mmseqs2	0	21687	21987	0.9863555737481239	fraction_0.005
mummer4	0	21987	21987	1.0	fraction_0.005
sassy	0	21987	21987	1.0	fraction_0.005
strobealign	0	21754	21987	0.9894028289443763	fraction_0.005
x_mapper	0	21978	21987	0.9995906672124437	fraction_0.005
blastn	1	38336	39567	0.9688882149265803	fraction_0.005
bowtie1	1	39362	39567	0.9948189147521925	fraction_0.005
bowtie2	1	39563	39567	0.9998989056537013	fraction_0.005
indelfree_indexed	1	39442	39567	0.9968408016781661	fraction_0.005
minimap2	1	52	39567	0.0013142265018828822	fraction_0.005
mmseqs2	1	38663	39567	0.9771526777364976	fraction_0.005
mummer4	1	34803	39567	0.8795966335582682	fraction_0.005
sassy	1	39567	39567	1.0	fraction_0.005
strobealign	1	36597	39567	0.9249374478732277	fraction_0.005
x_mapper	1	36401	39567	0.9199838249045922	fraction_0.005
blastn	2	49775	56215	0.8854398292270746	fraction_0.005
bowtie1	2	55506	56215	0.9873877079071423	fraction_0.005
bowtie2	2	56067	56215	0.99736725073379	fraction_0.005
indelfree_indexed	2	55763	56215	0.9919594414302233	fraction_0.005
minimap2	2	52	56215	0.0009250200124521925	fraction_0.005
mmseqs2	2	50611	56215	0.9003113048118829	fraction_0.005
mummer4	2	40870	56215	0.7270301520946366	fraction_0.005
sassy	2	56215	56215	1.0	fraction_0.005
strobealign	2	46025	56215	0.8187316552521569	fraction_0.005
x_mapper	2	46698	56215	0.8307035488748554	fraction_0.005
blastn	3	57889	79771	0.7256897870153314	fraction_0.005
bowtie1	3	73901	79771	0.9264143611086736	fraction_0.005
bowtie2	3	72979	79771	0.9148562760903085	fraction_0.005
indelfree_indexed	3	74682	79771	0.9362048864875707	fraction_0.005
