tool	distance	n_found	n_total	recall	fraction
blastn	0	4371	4371	1.0	fraction_0.0005
bowtie1	0	4371	4371	1.0	fraction_0.0005
bowtie2	0	4371	4371	1.0	fraction_0.0005
indelfree_bruteforce	0	4371	4371	1.0	fraction_0.0005
indelfree_indexed	0	4371	4371	1.0	fraction_0.0005
minimap2	0	7	4371	0.001601464195836193	fraction_0.0005
mmseqs2	0	4287	4371	0.9807824296499656	fraction_0.0005
mummer4	0	4371	4371	1.0	fraction_0.0005
sassy	0	4371	4371	1.0	fraction_0.0005
strobealign	0	4334	4371	0.9915351178220086	fraction_0.0005
x_mapper	0	4371	4371	1.0	fraction_0.0005
blastn	1	3213	3491	0.9203666571183042	fraction_0.0005
bowtie1	1	3456	3491	0.9899742194213692	fraction_0.0005
bowtie2	1	3491	3491	1.0	fraction_0.0005
indelfree_bruteforce	1	3469	3491	0.9936980807791463	fraction_0.0005
indelfree_indexed	1	3469	3491	0.9936980807791463	fraction_0.0005
minimap2	1	0	3491	0.0	fraction_0.0005
mmseqs2	1	3349	3491	0.9593239759381266	fraction_0.0005
mummer4	1	2618	3491	0.7499283872815812	fraction_0.0005
sassy	1	3491	3491	1.0	fraction_0.0005
strobealign	1	2882	3491	0.8255514179318247	fraction_0.0005
x_mapper	1	3147	3491	0.9014608994557434	fraction_0.0005
blastn	2	2195	3276	0.67002442002442	fraction_0.0005
bowtie1	2	3166	3276	0.9664224664224664	fraction_0.0005
bowtie2	2	3245	3276	0.9905372405372406	fraction_0.0005
indelfree_bruteforce	2	3204	3276	0.978021978021978	fraction_0.0005
indelfree_indexed	2	3204	3276	0.978021978021978	fraction_0.0005
minimap2	2	0	3276	0.0	fraction_0.0005
mmseqs2	2	2301	3276	0.7023809523809523	fraction_0.0005
mummer4	2	1200	3276	0.3663003663003663	fraction_0.0005
sassy	2	3276	3276	1.0	fraction_0.0005
strobealign	2	1851	3276	0.565018315018315	fraction_0.0005
x_mapper	2	2565	3276	0.782967032967033	fraction_0.0005
blastn	3	1330	3723	0.35723878592532904	fraction_0.0005
bowtie1	3	2986	3723	0.8020413644910018	fraction_0.0005
bowtie2	3	2687	3723	0.7217297878055332	fraction_0.0005
indelfree_bruteforce	3	3058	3723	0.8213806070373355	fraction_0.0005
indelfree_indexed	3	3058	3723	0.8213806070373355	fraction_0.0005
minimap2	3	0	3723	0.0	fraction_0.0005
mmseqs2	3	874	3723	0.23475691646521624	fraction_0.0005
mummer4	3	292	3723	0.0784313725490196	fraction_0.0005
sassy	3	3723	3723	1.0	fraction_0.0005
strobealign	3	805	3723	0.21622347569164652	fraction_0.0005
x_mapper	3	1787	3723	0.47998925597636316	fraction_0.0005
blastn	0	6741	6741	1.0	fraction_0.001
bowtie1	0	6741	6741	1.0	fraction_0.001
bowtie2	0	6741	6741	1.0	fraction_0.001
indelfree_bruteforce	0	6741	6741	1.0	fraction_0.001
indelfree_indexed	0	6741	6741	1.0	fraction_0.001
minimap2	0	13	6741	0.0019284972556000593	fraction_0.001
mmseqs2	0	6641	6741	0.9851654057261534	fraction_0.001
mummer4	0	6741	6741	1.0	fraction_0.001
sassy	0	6741	6741	1.0	fraction_0.001
strobealign	0	6703	6741	0.9943628541759383	fraction_0.001
x_mapper	0	6741	6741	1.0	fraction_0.001
blastn	1	4724	5112	0.9241001564945227	fraction_0.001
bowtie1	1	5061	5112	0.9900234741784038	fraction_0.001
bowtie2	1	5110	5112	0.9996087636932708	fraction_0.001
indelfree_bruteforce	1	5076	5112	0.9929577464788732	fraction_0.001
indelfree_indexed	1	5076	5112	0.9929577464788732	fraction_0.001
minimap2	1	0	5112	0.0	fraction_0.001
mmseqs2	1	4951	5112	0.9685054773082942	fraction_0.001
mummer4	1	3851	5112	0.7533255086071987	fraction_0.001
sassy	1	5112	5112	1.0	fraction_0.001
strobealign	1	4442	5112	0.8689358372456965	fraction_0.001
x_mapper	1	4687	5112	0.9168622848200313	fraction_0.001
blastn	2	3164	4638	0.6821905993962915	fraction_0.001
bowtie1	2	4518	4638	0.9741267787839586	fraction_0.001
bowtie2	2	4614	4638	0.9948253557567918	fraction_0.001
indelfree_bruteforce	2	4561	4638	0.9833980163863735	fraction_0.001
indelfree_indexed	2	4561	4638	0.9833980163863735	fraction_0.001
minimap2	2	0	4638	0.0	fraction_0.001
mmseqs2	2	3491	4638	0.7526951272100043	fraction_0.001
mummer4	2	1703	4638	0.3671841310909875	fraction_0.001
sassy	2	4638	4638	1.0	fraction_0.001
strobealign	2	2811	4638	0.6060802069857697	fraction_0.001
x_mapper	2	3678	4638	0.7930142302716688	fraction_0.001
blastn	3	2041	5649	0.3613028854664542	fraction_0.001
bowtie1	3	4581	5649	0.8109399893786511	fraction_0.001
bowtie2	3	4302	5649	0.7615507169410515	fraction_0.001
indelfree_bruteforce	3	4700	5649	0.8320056647194194	fraction_0.001
indelfree_indexed	3	4700	5649	0.8320056647194194	fraction_0.001
minimap2	3	0	5649	0.0	fraction_0.001
mmseqs2	3	1470	5649	0.26022304832713755	fraction_0.001
mummer4	3	511	5649	0.09045848822800495	fraction_0.001
sassy	3	5649	5649	1.0	fraction_0.001
strobealign	3	1375	5649	0.24340591255089397	fraction_0.001
x_mapper	3	2748	5649	0.48645778013807756	fraction_0.001
blastn	0	21987	21987	1.0	fraction_0.005
bowtie1	0	21987	21987	1.0	fraction_0.005
bowtie2	0	21987	21987	1.0	fraction_0.005
indelfree_indexed	0	21987	21987	1.0	fraction_0.005
minimap2	0	52	21987	0.0023650338836585256	fraction_0.005
mmseqs2	0	21687	21987	0.9863555737481239	fraction_0.005
mummer4	0	21987	21987	1.0	fraction_0.005
sassy	0	21987	21987	1.0	fraction_0.005
strobealign	0	21754	21987	0.9894028289443763	fraction_0.005
x_mapper	0	21978	21987	0.9995906672124437	fraction_0.005
blastn	1	16349	17580	0.9299772468714448	fraction_0.005
bowtie1	1	17375	17580	0.9883390216154722	fraction_0.005
bowtie2	1	17576	17580	0.9997724687144482	fraction_0.005
indelfree_indexed	1	17455	17580	0.9928896473265074	fraction_0.005
minimap2	1	0	17580	0.0	fraction_0.005
mmseqs2	1	16976	17580	0.9656427758816837	fraction_0.005
mummer4	1	12816	17580	0.7290102389078499	fraction_0.005
sassy	1	17580	17580	1.0	fraction_0.005
strobealign	1	14843	17580	0.844311717861206	fraction_0.005
x_mapper	1	14423	17580	0.8204209328782708	fraction_0.005
blastn	2	11439	16648	0.6871095627102355	fraction_0.005
bowtie1	2	16144	16648	0.9697260932244114	fraction_0.005
bowtie2	2	16504	16648	0.9913503123498318	fraction_0.005
indelfree_indexed	2	16321	16648	0.9803580009610764	fraction_0.005
minimap2	2	0	16648	0.0	fraction_0.005
mmseqs2	2	11948	16648	0.7176838058625661	fraction_0.005
mummer4	2	6067	16648	0.36442815953868335	fraction_0.005
sassy	2	16648	16648	1.0	fraction_0.005
strobealign	2	9428	16648	0.5663142719846228	fraction_0.005
x_mapper	2	10297	16648	0.6185127342623739	fraction_0.005
blastn	3	8114	23556	0.3444557649855663	fraction_0.005
bowtie1	3	18395	23556	0.7809050772626932	fraction_0.005
bowtie2	3	16912	23556	0.717948717948718	fraction_0.005
indelfree_indexed	3	18919	23556	0.8031499405671592	fraction_0.005
minimap2	3	0	23556	0.0	fraction_0.005
mmseqs2	3	5600	23556	0.23773136355917812	fraction_0.005
