distance_edit	tool	distance_metric	mode	total_possible	tool_matches	recall	fraction
0	blastn	distance_edit	cumulative	4371	4371	1.0	fraction_0.0005
0	bowtie1	distance_edit	cumulative	4371	4371	1.0	fraction_0.0005
0	bowtie2	distance_edit	cumulative	4371	4371	1.0	fraction_0.0005
0	indelfree_bruteforce	distance_edit	cumulative	4371	4371	1.0	fraction_0.0005
0	indelfree_indexed	distance_edit	cumulative	4371	4371	1.0	fraction_0.0005
0	minimap2	distance_edit	cumulative	4371	7	0.001601464195836193	fraction_0.0005
0	mmseqs2	distance_edit	cumulative	4371	4286	0.9805536490505605	fraction_0.0005
0	mummer4	distance_edit	cumulative	4371	4371	1.0	fraction_0.0005
0	sassy	distance_edit	cumulative	4371	4371	1.0	fraction_0.0005
0	strobealign	distance_edit	cumulative	4371	4334	0.9915351178220086	fraction_0.0005
0	x_mapper	distance_edit	cumulative	4371	4371	1.0	fraction_0.0005
1	blastn	distance_edit	cumulative	7862	7132	0.907148308318494	fraction_0.0005
1	bowtie1	distance_edit	cumulative	7862	7790	0.9908420249300433	fraction_0.0005
1	bowtie2	distance_edit	cumulative	7862	7838	0.9969473416433478	fraction_0.0005
1	indelfree_bruteforce	distance_edit	cumulative	7862	7790	0.9908420249300433	fraction_0.0005
1	indelfree_indexed	distance_edit	cumulative	7862	7790	0.9908420249300433	fraction_0.0005
1	minimap2	distance_edit	cumulative	7862	7	0.0008903586873569067	fraction_0.0005
1	mmseqs2	distance_edit	cumulative	7862	7315	0.9304248282879675	fraction_0.0005
1	mummer4	distance_edit	cumulative	7862	6751	0.8586873569066396	fraction_0.0005
1	sassy	distance_edit	cumulative	7862	7862	1.0	fraction_0.0005
1	strobealign	distance_edit	cumulative	7862	7204	0.9163062833884508	fraction_0.0005
1	x_mapper	distance_edit	cumulative	7862	7493	0.9530653777664716	fraction_0.0005
2	blastn	distance_edit	cumulative	11138	9253	0.8307595618602981	fraction_0.0005
2	bowtie1	distance_edit	cumulative	11138	10925	0.9808762794038427	fraction_0.0005
2	bowtie2	distance_edit	cumulative	11138	11081	0.9948823846291973	fraction_0.0005
2	indelfree_bruteforce	distance_edit	cumulative	11138	10943	0.9824923684683067	fraction_0.0005
2	indelfree_indexed	distance_edit	cumulative	11138	10943	0.9824923684683067	fraction_0.0005
2	minimap2	distance_edit	cumulative	11138	7	0.0006284790806248878	fraction_0.0005
2	mmseqs2	distance_edit	cumulative	11138	9477	0.8508708924402945	fraction_0.0005
2	mummer4	distance_edit	cumulative	11138	8010	0.7191596336864787	fraction_0.0005
2	sassy	distance_edit	cumulative	11138	11138	1.0	fraction_0.0005
2	strobealign	distance_edit	cumulative	11138	9054	0.8128927994253905	fraction_0.0005
2	x_mapper	distance_edit	cumulative	11138	10036	0.9010594361644819	fraction_0.0005
3	blastn	distance_edit	cumulative	14861	11109	0.7475270843146491	fraction_0.0005
3	bowtie1	distance_edit	cumulative	14861	13979	0.940650023551578	fraction_0.0005
3	bowtie2	distance_edit	cumulative	14861	13794	0.9282013323464101	fraction_0.0005
3	indelfree_bruteforce	distance_edit	cumulative	14861	14102	0.9489267209474463	fraction_0.0005
3	indelfree_indexed	distance_edit	cumulative	14861	14102	0.9489267209474463	fraction_0.0005
3	minimap2	distance_edit	cumulative	14861	7	0.0004710315591144607	fraction_0.0005
3	mmseqs2	distance_edit	cumulative	14861	10811	0.7274745979409192	fraction_0.0005
3	mummer4	distance_edit	cumulative	14861	8481	0.5706883789785344	fraction_0.0005
