tool	distance	recall	n_simulations
indelfree_indexed	1	0.9999969563174486	7
strobealign	3	0.11579526537942193	6
mummer4	2	0.29080216303464873	6
indelfree_bruteforce	1	1.0	6
blastn	2	0.7468208677026407	7
bowtie1	2	0.9992662464483963	7
bowtie2	3	0.8637493090928405	7
indelfree_bruteforce	0	1.0	6
mmseqs2	0	0.9956817329530928	7
mummer4	0	1.0	6
strobealign	0	0.9194193120874768	6
indelfree_indexed	2	0.9995322127695264	7
x_mapper	0	0.8575038276863244	6
sassy	3	1.0	6
x_mapper	1	0.4292805683822442	6
sassy	0	1.0	6
x_mapper	2	0.19922821565835538	6
mummer4	3	0.06440506073981049	6
blastn	1	0.9402487714885007	7
sassy	1	1.0	6
mmseqs2	2	0.634067423378781	7
bowtie2	1	1.0	7
bowtie1	0	1.0	7
bowtie2	2	0.9983529699393421	7
blastn	3	0.44592188813182065	7
indelfree_bruteforce	2	0.9998870351047767	6
indelfree_bruteforce	3	0.979591926632731	6
sassy	2	1.0	6
bowtie2	0	1.0	7
strobealign	1	0.562582197408018	6
mmseqs2	1	0.9519499205365952	7
mummer4	1	0.6876423079654274	6
mmseqs2	3	0.22208992998886287	7
strobealign	2	0.29478054008831767	6
bowtie1	1	0.9999969563174486	7
indelfree_indexed	3	0.9822906389433994	7
blastn	0	1.0	7
bowtie1	3	0.9786390518575191	7
x_mapper	3	0.08574395008559849	6
indelfree_indexed	0	1.0	7
