tool	distance	recall	n_simulations
indelfree_bruteforce	0	1.0	6
strobealign	0	0.9194193120874768	6
bowtie2	1	1.0	7
indelfree_bruteforce	3	1.0	6
indelfree_indexed	3	1.0	7
blastn	2	0.743712232797302	7
bowtie2	0	1.0	7
bowtie1	2	1.0	7
mummer4	0	1.0	6
indelfree_indexed	2	1.0	7
bowtie2	2	0.9988377063376136	7
x_mapper	0	0.8575038276863244	6
mmseqs2	0	0.9956817329530929	7
bowtie1	1	1.0	7
sassy	1	1.0	6
blastn	0	1.0	7
bowtie1	0	1.0	7
sassy	0	1.0	6
mmseqs2	2	0.6181931238947814	7
mmseqs2	3	0.21924388238486245	7
indelfree_bruteforce	1	1.0	6
strobealign	2	0.2961073759315526	6
blastn	3	0.450517366271331	7
indelfree_indexed	1	1.0	7
bowtie2	3	0.879526349931097	7
mmseqs2	1	0.952145550975492	7
mummer4	2	0.28920058918944097	6
x_mapper	1	0.42895817224540916	6
x_mapper	2	0.19981124785110996	6
sassy	3	0.9242522395816167	6
indelfree_indexed	0	1.0	7
bowtie1	3	1.0	7
x_mapper	3	0.08879808109715766	6
blastn	1	0.940539274138026	7
strobealign	1	0.5628860114423235	6
indelfree_bruteforce	2	1.0	6
strobealign	3	0.11909817990861486	6
sassy	2	0.9993496314107206	6
mummer4	3	0.0644994567924778	6
mummer4	1	0.6878186831117238	6
