tool	distance	recall	n_simulations
blastn	1	0.940539274138026	7
strobealign	0	0.9194193120874768	6
indelfree_bruteforce	0	1.0	6
minimap2	0	0.0010384580593489157	5
minimap2	1	0.0	5
strobealign	3	0.11909817990861486	6
x_mapper	3	0.08879808109715766	6
bowtie1	1	1.0	7
indelfree_bruteforce	3	1.0	6
mmseqs2	0	0.9956817329530929	7
strobealign	1	0.5628860114423235	6
bowtie2	1	1.0	7
minimap2	3	0.0	5
sassy	1	1.0	6
bowtie1	2	1.0	7
indelfree_indexed	0	1.0	7
mummer4	0	1.0	6
bowtie2	3	0.879526349931097	7
indelfree_indexed	3	1.0	7
mummer4	2	0.28920058918944097	6
mmseqs2	1	0.9521455509754919	7
sassy	2	0.9993496314107206	6
x_mapper	2	0.19981124785110996	6
sassy	3	0.9242522395816167	6
x_mapper	0	0.8575038276863244	6
x_mapper	1	0.4289581722454092	6
mmseqs2	2	0.6181931238947815	7
bowtie2	2	0.9988377063376136	7
strobealign	2	0.2961073759315526	6
mmseqs2	3	0.21924388238486245	7
blastn	2	0.743712232797302	7
indelfree_indexed	2	1.0	7
blastn	0	1.0	7
indelfree_indexed	1	1.0	7
bowtie1	3	1.0	7
mummer4	1	0.6878186831117238	6
indelfree_bruteforce	2	1.0	6
sassy	0	1.0	6
bowtie2	0	1.0	7
bowtie1	0	1.0	7
indelfree_bruteforce	1	1.0	6
blastn	3	0.450517366271331	7
minimap2	2	0.0	5
mummer4	3	0.0644994567924778	6
