 Fraction/Simulation 	 Distance 	 Metric 	 Tool 	 n_found 	 n_total 	 Recall 
 fraction_0.0005 	 0 	 edit 	 blastn 	 4371 	 4371 	 1.000 
 fraction_0.0005 	 0 	 edit 	 bowtie1 	 4371 	 4371 	 1.000 
 fraction_0.0005 	 0 	 edit 	 bowtie2 	 4371 	 4371 	 1.000 
 fraction_0.0005 	 0 	 edit 	 indelfree_bruteforce 	 4371 	 4371 	 1.000 
 fraction_0.0005 	 0 	 edit 	 indelfree_indexed 	 4371 	 4371 	 1.000 
 fraction_0.0005 	 0 	 edit 	 minimap2 	 7 	 4371 	 0.002 
 fraction_0.0005 	 0 	 edit 	 mmseqs2 	 4287 	 4371 	 0.981 
 fraction_0.0005 	 0 	 edit 	 mummer4 	 4371 	 4371 	 1.000 
 fraction_0.0005 	 0 	 edit 	 sassy 	 4371 	 4371 	 1.000 
 fraction_0.0005 	 0 	 edit 	 strobealign 	 4334 	 4371 	 0.992 
 fraction_0.0005 	 0 	 edit 	 x_mapper 	 4371 	 4371 	 1.000 
 fraction_0.0005 	 1 	 edit 	 blastn 	 3213 	 3491 	 0.920 
 fraction_0.0005 	 1 	 edit 	 bowtie1 	 3456 	 3491 	 0.990 
 fraction_0.0005 	 1 	 edit 	 bowtie2 	 3491 	 3491 	 1.000 
 fraction_0.0005 	 1 	 edit 	 indelfree_bruteforce 	 3469 	 3491 	 0.994 
 fraction_0.0005 	 1 	 edit 	 indelfree_indexed 	 3469 	 3491 	 0.994 
 fraction_0.0005 	 1 	 edit 	 minimap2 	 0 	 3491 	 0.000 
 fraction_0.0005 	 1 	 edit 	 mmseqs2 	 3349 	 3491 	 0.959 
 fraction_0.0005 	 1 	 edit 	 mummer4 	 2618 	 3491 	 0.750 
 fraction_0.0005 	 1 	 edit 	 sassy 	 3491 	 3491 	 1.000 
 fraction_0.0005 	 1 	 edit 	 strobealign 	 2882 	 3491 	 0.826 
 fraction_0.0005 	 1 	 edit 	 x_mapper 	 3147 	 3491 	 0.901 
 fraction_0.0005 	 2 	 edit 	 blastn 	 2195 	 3276 	 0.670 
 fraction_0.0005 	 2 	 edit 	 bowtie1 	 3166 	 3276 	 0.966 
 fraction_0.0005 	 2 	 edit 	 bowtie2 	 3245 	 3276 	 0.991 
 fraction_0.0005 	 2 	 edit 	 indelfree_bruteforce 	 3204 	 3276 	 0.978 
 fraction_0.0005 	 2 	 edit 	 indelfree_indexed 	 3204 	 3276 	 0.978 
 fraction_0.0005 	 2 	 edit 	 minimap2 	 0 	 3276 	 0.000 
 fraction_0.0005 	 2 	 edit 	 mmseqs2 	 2301 	 3276 	 0.702 
 fraction_0.0005 	 2 	 edit 	 mummer4 	 1200 	 3276 	 0.366 
 fraction_0.0005 	 2 	 edit 	 sassy 	 3276 	 3276 	 1.000 
 fraction_0.0005 	 2 	 edit 	 strobealign 	 1851 	 3276 	 0.565 
 fraction_0.0005 	 2 	 edit 	 x_mapper 	 2565 	 3276 	 0.783 
 fraction_0.0005 	 3 	 edit 	 blastn 	 1330 	 3723 	 0.357 
 fraction_0.0005 	 3 	 edit 	 bowtie1 	 2986 	 3723 	 0.802 
 fraction_0.0005 	 3 	 edit 	 bowtie2 	 2687 	 3723 	 0.722 
 fraction_0.0005 	 3 	 edit 	 indelfree_bruteforce 	 3058 	 3723 	 0.821 
 fraction_0.0005 	 3 	 edit 	 indelfree_indexed 	 3058 	 3723 	 0.821 
 fraction_0.0005 	 3 	 edit 	 minimap2 	 0 	 3723 	 0.000 
 fraction_0.0005 	 3 	 edit 	 mmseqs2 	 874 	 3723 	 0.235 
 fraction_0.0005 	 3 	 edit 	 mummer4 	 292 	 3723 	 0.078 
 fraction_0.0005 	 3 	 edit 	 sassy 	 3723 	 3723 	 1.000 
 fraction_0.0005 	 3 	 edit 	 strobealign 	 805 	 3723 	 0.216 
 fraction_0.0005 	 3 	 edit 	 x_mapper 	 1787 	 3723 	 0.480 
 fraction_0.001 	 0 	 edit 	 blastn 	 6741 	 6741 	 1.000 
 fraction_0.001 	 0 	 edit 	 bowtie1 	 6741 	 6741 	 1.000 
 fraction_0.001 	 0 	 edit 	 bowtie2 	 6741 	 6741 	 1.000 
 fraction_0.001 	 0 	 edit 	 indelfree_bruteforce 	 6741 	 6741 	 1.000 
 fraction_0.001 	 0 	 edit 	 indelfree_indexed 	 6741 	 6741 	 1.000 
 fraction_0.001 	 0 	 edit 	 minimap2 	 13 	 6741 	 0.002 
 fraction_0.001 	 0 	 edit 	 mmseqs2 	 6641 	 6741 	 0.985 
 fraction_0.001 	 0 	 edit 	 mummer4 	 6741 	 6741 	 1.000 
 fraction_0.001 	 0 	 edit 	 sassy 	 6741 	 6741 	 1.000 
 fraction_0.001 	 0 	 edit 	 strobealign 	 6703 	 6741 	 0.994 
 fraction_0.001 	 0 	 edit 	 x_mapper 	 6741 	 6741 	 1.000 
 fraction_0.001 	 1 	 edit 	 blastn 	 4724 	 5112 	 0.924 
 fraction_0.001 	 1 	 edit 	 bowtie1 	 5061 	 5112 	 0.990 
 fraction_0.001 	 1 	 edit 	 bowtie2 	 5110 	 5112 	 1.000 
 fraction_0.001 	 1 	 edit 	 indelfree_bruteforce 	 5076 	 5112 	 0.993 
 fraction_0.001 	 1 	 edit 	 indelfree_indexed 	 5076 	 5112 	 0.993 
 fraction_0.001 	 1 	 edit 	 minimap2 	 0 	 5112 	 0.000 
 fraction_0.001 	 1 	 edit 	 mmseqs2 	 4951 	 5112 	 0.969 
 fraction_0.001 	 1 	 edit 	 mummer4 	 3851 	 5112 	 0.753 
 fraction_0.001 	 1 	 edit 	 sassy 	 5112 	 5112 	 1.000 
 fraction_0.001 	 1 	 edit 	 strobealign 	 4442 	 5112 	 0.869 
 fraction_0.001 	 1 	 edit 	 x_mapper 	 4687 	 5112 	 0.917 
 fraction_0.001 	 2 	 edit 	 blastn 	 3164 	 4638 	 0.682 
 fraction_0.001 	 2 	 edit 	 bowtie1 	 4518 	 4638 	 0.974 
 fraction_0.001 	 2 	 edit 	 bowtie2 	 4614 	 4638 	 0.995 
 fraction_0.001 	 2 	 edit 	 indelfree_bruteforce 	 4561 	 4638 	 0.983 
 fraction_0.001 	 2 	 edit 	 indelfree_indexed 	 4561 	 4638 	 0.983 
 fraction_0.001 	 2 	 edit 	 minimap2 	 0 	 4638 	 0.000 
 fraction_0.001 	 2 	 edit 	 mmseqs2 	 3491 	 4638 	 0.753 
 fraction_0.001 	 2 	 edit 	 mummer4 	 1703 	 4638 	 0.367 
 fraction_0.001 	 2 	 edit 	 sassy 	 4638 	 4638 	 1.000 
 fraction_0.001 	 2 	 edit 	 strobealign 	 2811 	 4638 	 0.606 
 fraction_0.001 	 2 	 edit 	 x_mapper 	 3678 	 4638 	 0.793 
 fraction_0.001 	 3 	 edit 	 blastn 	 2041 	 5649 	 0.361 
 fraction_0.001 	 3 	 edit 	 bowtie1 	 4581 	 5649 	 0.811 
 fraction_0.001 	 3 	 edit 	 bowtie2 	 4302 	 5649 	 0.762 
 fraction_0.001 	 3 	 edit 	 indelfree_bruteforce 	 4700 	 5649 	 0.832 
 fraction_0.001 	 3 	 edit 	 indelfree_indexed 	 4700 	 5649 	 0.832 
 fraction_0.001 	 3 	 edit 	 minimap2 	 0 	 5649 	 0.000 
 fraction_0.001 	 3 	 edit 	 mmseqs2 	 1470 	 5649 	 0.260 
 fraction_0.001 	 3 	 edit 	 mummer4 	 511 	 5649 	 0.090 
 fraction_0.001 	 3 	 edit 	 sassy 	 5649 	 5649 	 1.000 
 fraction_0.001 	 3 	 edit 	 strobealign 	 1375 	 5649 	 0.243 
 fraction_0.001 	 3 	 edit 	 x_mapper 	 2748 	 5649 	 0.486 
 fraction_0.005 	 0 	 edit 	 blastn 	 21987 	 21987 	 1.000 
 fraction_0.005 	 0 	 edit 	 bowtie1 	 21987 	 21987 	 1.000 
 fraction_0.005 	 0 	 edit 	 bowtie2 	 21987 	 21987 	 1.000 
 fraction_0.005 	 0 	 edit 	 indelfree_indexed 	 21987 	 21987 	 1.000 
 fraction_0.005 	 0 	 edit 	 minimap2 	 52 	 21987 	 0.002 
 fraction_0.005 	 0 	 edit 	 mmseqs2 	 21687 	 21987 	 0.986 
 fraction_0.005 	 0 	 edit 	 mummer4 	 21987 	 21987 	 1.000 
 fraction_0.005 	 0 	 edit 	 sassy 	 21987 	 21987 	 1.000 
 fraction_0.005 	 0 	 edit 	 strobealign 	 21754 	 21987 	 0.989 
 fraction_0.005 	 0 	 edit 	 x_mapper 	 21978 	 21987 	 1.000 
 fraction_0.005 	 1 	 edit 	 blastn 	 16349 	 17580 	 0.930 
 fraction_0.005 	 1 	 edit 	 bowtie1 	 17375 	 17580 	 0.988 
 fraction_0.005 	 1 	 edit 	 bowtie2 	 17576 	 17580 	 1.000 
 fraction_0.005 	 1 	 edit 	 indelfree_indexed 	 17455 	 17580 	 0.993 
 fraction_0.005 	 1 	 edit 	 minimap2 	 0 	 17580 	 0.000 
 fraction_0.005 	 1 	 edit 	 mmseqs2 	 16976 	 17580 	 0.966 
 fraction_0.005 	 1 	 edit 	 mummer4 	 12816 	 17580 	 0.729 
 fraction_0.005 	 1 	 edit 	 sassy 	 17580 	 17580 	 1.000 
 fraction_0.005 	 1 	 edit 	 strobealign 	 14843 	 17580 	 0.844 
 fraction_0.005 	 1 	 edit 	 x_mapper 	 14423 	 17580 	 0.820 
 fraction_0.005 	 2 	 edit 	 blastn 	 11439 	 16648 	 0.687 
 fraction_0.005 	 2 	 edit 	 bowtie1 	 16144 	 16648 	 0.970 
 fraction_0.005 	 2 	 edit 	 bowtie2 	 16504 	 16648 	 0.991 
 fraction_0.005 	 2 	 edit 	 indelfree_indexed 	 16321 	 16648 	 0.980 
 fraction_0.005 	 2 	 edit 	 minimap2 	 0 	 16648 	 0.000 
 fraction_0.005 	 2 	 edit 	 mmseqs2 	 11948 	 16648 	 0.718 
 fraction_0.005 	 2 	 edit 	 mummer4 	 6067 	 16648 	 0.364 
 fraction_0.005 	 2 	 edit 	 sassy 	 16648 	 16648 	 1.000 
 fraction_0.005 	 2 	 edit 	 strobealign 	 9428 	 16648 	 0.566 
 fraction_0.005 	 2 	 edit 	 x_mapper 	 10297 	 16648 	 0.619 
 fraction_0.005 	 3 	 edit 	 blastn 	 8114 	 23556 	 0.344 
 fraction_0.005 	 3 	 edit 	 bowtie1 	 18395 	 23556 	 0.781 
 fraction_0.005 	 3 	 edit 	 bowtie2 	 16912 	 23556 	 0.718 
 fraction_0.005 	 3 	 edit 	 indelfree_indexed 	 18919 	 23556 	 0.803 
 fraction_0.005 	 3 	 edit 	 minimap2 	 0 	 23556 	 0.000 
 fraction_0.005 	 3 	 edit 	 mmseqs2 	 5600 	 23556 	 0.238 
 fraction_0.005 	 3 	 edit 	 mummer4 	 1884 	 23556 	 0.080 
 fraction_0.005 	 3 	 edit 	 sassy 	 23556 	 23556 	 1.000 
 fraction_0.005 	 3 	 edit 	 strobealign 	 5065 	 23556 	 0.215 
 fraction_0.005 	 3 	 edit 	 x_mapper 	 6963 	 23556 	 0.296 
 fraction_0.01 	 0 	 edit 	 blastn 	 53076 	 53076 	 1.000 
 fraction_0.01 	 0 	 edit 	 bowtie1 	 53076 	 53076 	 1.000 
 fraction_0.01 	 0 	 edit 	 bowtie2 	 53076 	 53076 	 1.000 
 fraction_0.01 	 0 	 edit 	 indelfree_indexed 	 53076 	 53076 	 1.000 
 fraction_0.01 	 0 	 edit 	 minimap2 	 73 	 53076 	 0.001 
 fraction_0.01 	 0 	 edit 	 mmseqs2 	 52496 	 53076 	 0.989 
 fraction_0.01 	 0 	 edit 	 mummer4 	 53076 	 53076 	 1.000 
 fraction_0.01 	 0 	 edit 	 sassy 	 53076 	 53076 	 1.000 
 fraction_0.01 	 0 	 edit 	 strobealign 	 52440 	 53076 	 0.988 
 fraction_0.01 	 0 	 edit 	 x_mapper 	 53033 	 53076 	 0.999 
 fraction_0.01 	 1 	 edit 	 blastn 	 37727 	 40519 	 0.931 
 fraction_0.01 	 1 	 edit 	 bowtie1 	 40184 	 40519 	 0.992 
 fraction_0.01 	 1 	 edit 	 bowtie2 	 40517 	 40519 	 1.000 
 fraction_0.01 	 1 	 edit 	 indelfree_indexed 	 40257 	 40519 	 0.994 
 fraction_0.01 	 1 	 edit 	 minimap2 	 0 	 40519 	 0.000 
 fraction_0.01 	 1 	 edit 	 mmseqs2 	 39256 	 40519 	 0.969 
 fraction_0.01 	 1 	 edit 	 mummer4 	 29741 	 40519 	 0.734 
 fraction_0.01 	 1 	 edit 	 sassy 	 40519 	 40519 	 1.000 
 fraction_0.01 	 1 	 edit 	 strobealign 	 32629 	 40519 	 0.805 
 fraction_0.01 	 1 	 edit 	 x_mapper 	 30931 	 40519 	 0.763 
 fraction_0.01 	 2 	 edit 	 blastn 	 26325 	 38352 	 0.686 
 fraction_0.01 	 2 	 edit 	 bowtie1 	 37321 	 38352 	 0.973 
 fraction_0.01 	 2 	 edit 	 bowtie2 	 38102 	 38352 	 0.993 
 fraction_0.01 	 2 	 edit 	 indelfree_indexed 	 37705 	 38352 	 0.983 
 fraction_0.01 	 2 	 edit 	 minimap2 	 0 	 38352 	 0.000 
 fraction_0.01 	 2 	 edit 	 mmseqs2 	 27735 	 38352 	 0.723 
 fraction_0.01 	 2 	 edit 	 mummer4 	 13529 	 38352 	 0.353 
 fraction_0.01 	 2 	 edit 	 sassy 	 38352 	 38352 	 1.000 
 fraction_0.01 	 2 	 edit 	 strobealign 	 20240 	 38352 	 0.528 
 fraction_0.01 	 2 	 edit 	 x_mapper 	 20165 	 38352 	 0.526 
 fraction_0.01 	 3 	 edit 	 blastn 	 18347 	 52946 	 0.347 
 fraction_0.01 	 3 	 edit 	 bowtie1 	 41223 	 52946 	 0.779 
 fraction_0.01 	 3 	 edit 	 bowtie2 	 38152 	 52946 	 0.721 
 fraction_0.01 	 3 	 edit 	 indelfree_indexed 	 42364 	 52946 	 0.800 
 fraction_0.01 	 3 	 edit 	 minimap2 	 0 	 52946 	 0.000 
 fraction_0.01 	 3 	 edit 	 mmseqs2 	 12717 	 52946 	 0.240 
 fraction_0.01 	 3 	 edit 	 mummer4 	 4157 	 52946 	 0.079 
 fraction_0.01 	 3 	 edit 	 sassy 	 52946 	 52946 	 1.000 
 fraction_0.01 	 3 	 edit 	 strobealign 	 10441 	 52946 	 0.197 
 fraction_0.01 	 3 	 edit 	 x_mapper 	 12491 	 52946 	 0.236 
 fraction_1 	 0 	 hamming 	 blastn 	 7486741 	 7486741 	 1.000 
 fraction_1 	 0 	 hamming 	 bowtie1 	 7486741 	 7486741 	 1.000 
 fraction_1 	 0 	 hamming 	 bowtie2 	 7486741 	 7486741 	 1.000 
 fraction_1 	 0 	 hamming 	 minimap2 	 7509 	 7486741 	 0.001 
 fraction_1 	 0 	 hamming 	 mmseqs2 	 7300313 	 7486741 	 0.975 
 fraction_1 	 0 	 hamming 	 mummer4 	 7486741 	 7486741 	 1.000 
 fraction_1 	 0 	 hamming 	 strobealign 	 5893368 	 7486741 	 0.787 
 fraction_1 	 0 	 hamming 	 x_mapper 	 4087837 	 7486741 	 0.546 
 fraction_1 	 1 	 hamming 	 blastn 	 4300028 	 5349840 	 0.804 
 fraction_1 	 1 	 hamming 	 bowtie1 	 5348252 	 5349840 	 1.000 
 fraction_1 	 1 	 hamming 	 bowtie2 	 5348360 	 5349840 	 1.000 
 fraction_1 	 1 	 hamming 	 minimap2 	 0 	 5349840 	 0.000 
 fraction_1 	 1 	 hamming 	 mmseqs2 	 4576693 	 5349840 	 0.855 
 fraction_1 	 1 	 hamming 	 mummer4 	 3574831 	 5349840 	 0.668 
 fraction_1 	 1 	 hamming 	 strobealign 	 1865559 	 5349840 	 0.349 
 fraction_1 	 1 	 hamming 	 x_mapper 	 1382061 	 5349840 	 0.258 
 fraction_1 	 2 	 hamming 	 blastn 	 3295366 	 5191692 	 0.635 
 fraction_1 	 2 	 hamming 	 bowtie1 	 4840011 	 5191692 	 0.932 
 fraction_1 	 2 	 hamming 	 bowtie2 	 4827887 	 5191692 	 0.930 
 fraction_1 	 2 	 hamming 	 minimap2 	 0 	 5191692 	 0.000 
 fraction_1 	 2 	 hamming 	 mmseqs2 	 3160802 	 5191692 	 0.609 
 fraction_1 	 2 	 hamming 	 mummer4 	 1819317 	 5191692 	 0.350 
 fraction_1 	 2 	 hamming 	 strobealign 	 610239 	 5191692 	 0.118 
 fraction_1 	 2 	 hamming 	 x_mapper 	 503854 	 5191692 	 0.097 
 fraction_1 	 3 	 hamming 	 blastn 	 3253234 	 6584617 	 0.494 
 fraction_1 	 3 	 hamming 	 bowtie1 	 5640628 	 6584617 	 0.857 
 fraction_1 	 3 	 hamming 	 bowtie2 	 4996518 	 6584617 	 0.759 
 fraction_1 	 3 	 hamming 	 minimap2 	 0 	 6584617 	 0.000 
 fraction_1 	 3 	 hamming 	 mmseqs2 	 2072104 	 6584617 	 0.315 
 fraction_1 	 3 	 hamming 	 mummer4 	 778217 	 6584617 	 0.118 
 fraction_1 	 3 	 hamming 	 strobealign 	 181230 	 6584617 	 0.028 
 fraction_1 	 3 	 hamming 	 x_mapper 	 134350 	 6584617 	 0.020 
