Tool,Fraction,Job ID,CPU Time (h),Wall Time (h),Peak Mem (GB),CPUs,Max Distance
blastn,0.0005,20697879,6.60,0.55,0.61,38,perc_id=84%
blastn,0.001,20697880,9.02,0.55,0.63,38,perc_id=84%
blastn,0.005,20697881,44.79,3.19,0.68,38,perc_id=84%
blastn,0.01,20697882,94.72,9.00,0.70,38,perc_id=84%
blastn,0.05,20697883,556.64,28.77,1.31,38,perc_id=84%
blastn,0.1,20697884,1135.98,146.80,2.82,38,perc_id=84%
bowtie1,0.0005,20668861,0.04,0.04,0.18,38,3
bowtie1,0.001,20668609,0.04,0.04,0.50,38,3
bowtie1,0.005,20668621,0.09,0.09,0.83,38,3
bowtie1,0.01,20668633,0.11,0.11,1.22,38,3
bowtie1,0.05,20668645,4.07,0.32,4.15,38,3
bowtie1,0.1,20668655,10.27,1.50,8.02,38,3
bowtie1,1.0,20668665,117.29,14.33,146.37,38,3
bowtie2,0.0005,20668433,0.06,0.06,1.05,38,N/A
bowtie2,0.001,20668610,0.06,0.06,0.78,38,N/A
bowtie2,0.005,20668622,0.16,0.16,1.10,38,N/A
bowtie2,0.01,20668634,2.88,0.39,1.84,38,N/A
bowtie2,0.05,20668646,13.63,1.46,6.28,38,N/A
bowtie2,0.1,20668656,30.74,3.40,11.62,38,N/A
bowtie2,1.0,20668666,994.87,115.92,151.48,38,N/A
indelfree_bruteforce,0.0005,20668599,197.77,26.75,22.04,38,N/A
indelfree_bruteforce,0.001,20668611,371.13,41.72,27.82,38,N/A
indelfree_indexed,0.0005,20668600,2.72,0.47,20.31,38,N/A
indelfree_indexed,0.001,20668612,4.06,0.69,27.88,38,N/A
indelfree_indexed,0.005,20668624,20.73,2.54,28.42,38,N/A
indelfree_indexed,0.01,20668636,44.38,6.04,31.41,38,N/A
indelfree_indexed,0.05,20668647,185.84,18.43,35.83,38,N/A
indelfree_indexed,0.1,20668657,418.20,51.18,40.76,38,N/A
minimap2,0.0005,20668602,0.03,0.03,0.76,38,N/A
minimap2,0.001,20668614,0.04,0.04,0.76,38,N/A
minimap2,0.005,20668626,0.15,0.15,1.12,38,N/A
minimap2,0.01,20668638,2.61,0.63,1.65,38,N/A
minimap2,0.05,20668649,15.64,0.92,5.15,38,N/A
minimap2,0.1,20668659,34.19,7.72,9.85,38,N/A
minimap2,1.0,20668669,517.35,48.13,90.69,38,N/A
mmseqs2,0.0005,20668603,0.07,0.07,9.99,38,min-seq-id=85%
mmseqs2,0.001,20668615,0.07,0.07,9.98,38,min-seq-id=85%
mmseqs2,0.005,20668627,0.07,0.07,10.33,38,min-seq-id=85%
mmseqs2,0.01,20668639,0.07,0.07,10.75,38,min-seq-id=85%
mmseqs2,0.05,20668650,0.07,0.07,15.30,38,min-seq-id=85%
mmseqs2,0.1,20668660,0.13,0.13,22.84,38,min-seq-id=85%
mmseqs2,1.0,20668670,5.37,0.73,141.76,38,min-seq-id=85%
mummer4,0.0005,20668604,0.01,0.01,0.39,38,N/A
mummer4,0.001,20668616,0.01,0.01,0.12,38,N/A
mummer4,0.005,20668628,0.03,0.03,0.26,38,N/A
mummer4,0.01,20668640,0.08,0.08,0.28,38,N/A
mummer4,0.05,20668651,0.26,0.26,0.43,38,N/A
mummer4,0.1,20668661,4.64,0.86,2.31,38,N/A
mummer4,1.0,20668671,47.88,9.33,9.02,38,N/A
sassy,0.0005,20668605,26.24,2.75,2.95,38,N/A
sassy,0.001,20668617,37.25,4.66,3.14,38,N/A
sassy,0.005,20668629,212.28,25.47,10.43,38,N/A
sassy,0.01,20668641,439.60,65.63,27.94,38,N/A
strobealign,0.0005,20668606,0.01,0.01,0.63,38,N/A
strobealign,0.001,20668618,0.00,0.00,0.67,38,N/A
strobealign,0.005,20668630,0.01,0.01,2.02,38,N/A
strobealign,0.01,20668642,0.02,0.02,3.55,38,N/A
strobealign,0.05,20668652,0.03,0.03,11.72,38,N/A
strobealign,0.1,20668662,0.08,0.08,21.29,38,N/A
strobealign,1.0,20668672,0.32,0.32,116.67,38,N/A
x_mapper,0.0005,20668607,0.02,0.02,6.04,38,N/A
x_mapper,0.001,20668619,0.03,0.03,6.07,38,N/A
x_mapper,0.005,20668631,0.06,0.06,4.18,38,N/A
x_mapper,0.01,20668643,0.06,0.06,7.35,38,N/A
x_mapper,0.05,20668653,0.43,0.43,10.75,38,N/A
x_mapper,0.1,20668663,3.36,1.11,10.86,38,N/A
x_mapper,1.0,20695756,45.50,12.42,244.28,38,N/A
