Dataset,Tool,Job ID,Search Space,N Spacers,N Contigs,Spacer Mbp,Contig Mbp,CPU Time (h),Wall Time (h),Peak Mem (GB),CPUs,Max Distance
ns_100000_nc_10000,blastn,20697887,1000000000,100000,10000,3.20,802.83,12.99,1.11,1.14,38,perc_id=84%
ns_100000_nc_10000,bowtie1,20704670,1000000000,100000,10000,3.20,802.83,7.09,0.45,5.69,38,3
ns_100000_nc_10000,bowtie2,20697890,1000000000,100000,10000,3.20,802.83,3.83,0.48,6.52,38,N/A
ns_100000_nc_10000,indelfree_bruteforce,20697892,1000000000,100000,10000,3.20,802.83,653.95,51.71,105.35,38,5
ns_100000_nc_10000,indelfree_indexed,20697894,1000000000,100000,10000,3.20,802.83,6.24,0.26,39.30,38,5
ns_100000_nc_10000,minimap2,20697895,1000000000,100000,10000,3.20,802.83,0.07,0.07,5.33,38,N/A
ns_100000_nc_10000,mmseqs2,20697897,1000000000,100000,10000,3.20,802.83,0.06,0.06,14.13,38,min-seq-id=85%
ns_100000_nc_10000,mummer4,20697898,1000000000,100000,10000,3.20,802.83,0.08,0.08,0.27,38,N/A
ns_100000_nc_10000,sassy,20697900,1000000000,100000,10000,3.20,802.83,68.36,7.42,0.12,38,5
ns_100000_nc_10000,strobealign,20697902,1000000000,100000,10000,3.20,802.83,0.01,0.01,3.80,38,N/A
ns_100000_nc_10000,x_mapper,20697903,1000000000,100000,10000,3.20,802.83,0.08,0.08,21.95,38,N/A
ns_100000_nc_20000,blastn,20697905,2000000000,100000,20000,3.20,1604.14,25.74,1.14,2.13,38,perc_id=84%
ns_100000_nc_20000,bowtie1,20704671,2000000000,100000,20000,3.20,1604.14,6.92,0.70,8.13,38,3
ns_100000_nc_20000,bowtie2,20697908,2000000000,100000,20000,3.20,1604.14,7.41,0.76,12.21,38,N/A
ns_100000_nc_20000,indelfree_bruteforce,20697909,2000000000,100000,20000,3.20,1604.14,2948.61,137.93,32.38,38,5
ns_100000_nc_20000,indelfree_indexed,20697910,2000000000,100000,20000,3.20,1604.14,13.02,1.55,29.51,38,5
ns_100000_nc_20000,minimap2,20697911,2000000000,100000,20000,3.20,1604.14,0.05,0.05,9.98,38,N/A
ns_100000_nc_20000,mmseqs2,20697912,2000000000,100000,20000,3.20,1604.14,0.04,0.04,20.16,38,min-seq-id=85%
ns_100000_nc_20000,mummer4,20697913,2000000000,100000,20000,3.20,1604.14,0.16,0.16,0.28,38,N/A
ns_100000_nc_20000,sassy,20697914,2000000000,100000,20000,3.20,1604.14,141.30,5.74,0.15,38,5
ns_100000_nc_20000,strobealign,20697915,2000000000,100000,20000,3.20,1604.14,0.02,0.02,7.58,38,N/A
